family,family_zh,family_en,concept_count,total_expert_links,leading_experts_zh,leading_indicators_zh,leading_indicators_en,core_question_zh,core_question_en,best_use_zh,best_use_en,caution_zh,caution_en
auction_market,拍賣市場,Auction Market,1,2,彼得・史戴梅爾,Market Profile,Market Profile,拍賣市場用於補充主要技術分析框架。,Auction Market complements the main technical-analysis framework.,依指標性質搭配趨勢、動量、量價或風險資料使用。,"Use it with trend, momentum, volume, or risk evidence depending on context.",避免孤立使用單一工具。,Avoid using any single tool in isolation.
breadth,市場寬度,Market Breadth,3,17,內德・戴維斯；謝爾曼・麥克萊倫；瑪麗安・麥克萊倫；理查・阿姆斯,市場寬度；McClellan Oscillator；TRIN / Arms Index,Market Breadth; McClellan Oscillator; Arms Index,觀察指數背後參與股票的廣度與市場內部健康。,Looks at participation and internal health behind an index.,適合判斷牛熊轉折、指數背離與風險擴散。,"Useful for bull/bear turns, index divergence, and risk diffusion.",多數廣度資料偏市場層級，不一定適用單一股票。,Most breadth data is market-level and may not apply to a single stock.
breakout,突破交易,Breakout,2,4,馬克・費雪；托比・克拉貝爾,開盤區間突破；ACD 開盤區間法,Opening Range Breakout; ACD Method,突破交易用於補充主要技術分析框架。,Breakout complements the main technical-analysis framework.,依指標性質搭配趨勢、動量、量價或風險資料使用。,"Use it with trend, momentum, volume, or risk evidence depending on context.",避免孤立使用單一工具。,Avoid using any single tool in isolation.
charting,圖表分析,Charting,8,47,史蒂夫・尼森；湯瑪斯・布考斯基；威廉・歐尼爾；A・W・科恩；本間宗久；羅伯特・愛德華茲,圖表型態；支撐阻力；價格行為；K 線 / 蠟燭圖；讀帶 / 盤口判讀；點數圖；杯柄形態；VCP 波動收縮形態,Chart Patterns; Support and Resistance; Price Action; Candlestick Charting; Point and Figure; Tape Reading; Cup With Handle; Volatility Contraction Pattern,透過價格型態、K 線與結構辨識交易情境。,"Identifies trading context through price patterns, candlesticks, and structure.",適合視覺化支撐阻力、突破、反轉與整理。,"Best for visualizing support/resistance, breakouts, reversals, and consolidations.",型態主觀性較高，應用統計或規則降低任意解讀。,Patterns are subjective; use statistics or rules to reduce arbitrary interpretation.
cycle,週期分析,Cycle Analysis,3,8,約翰・艾勒斯；威廉・江恩,週期分析；Ehlers 濾波器；江恩理論,Cycle Analysis; Ehlers Filters; Gann Methods,週期分析用於補充主要技術分析框架。,Cycle Analysis complements the main technical-analysis framework.,依指標性質搭配趨勢、動量、量價或風險資料使用。,"Use it with trend, momentum, volume, or risk evidence depending on context.",避免孤立使用單一工具。,Avoid using any single tool in isolation.
foundation,技術分析基礎理論,Foundations,1,7,查爾斯・道,道氏理論,Dow Theory,先建立趨勢、確認、價格與成交量的基本框架。,"Start with trend, confirmation, price, and volume as the core framework.",用於判斷市場是否值得進一步套用指標。,Use this to decide whether a market deserves further indicator analysis.,不要把理論框架直接當成買賣訊號。,Do not treat a theoretical framework as a direct trading signal.
market_timing,市場時機,Market Timing,2,2,湯姆・迪馬克,DeMark 指標；市場時機,DeMARK Indicators; Market Timing,市場時機用於補充主要技術分析框架。,Market Timing complements the main technical-analysis framework.,依指標性質搭配趨勢、動量、量價或風險資料使用。,"Use it with trend, momentum, volume, or risk evidence depending on context.",避免孤立使用單一工具。,Avoid using any single tool in isolation.
momentum,動量指標,Momentum,12,29,圖沙・昌德；拉瑞・威廉斯；唐納德・蘭伯特；拉倫斯・康納斯；艾德溫・科波克；亞歷山大・艾爾德,動量；RSI 相對強弱指數；MACD；隨機 RSI；CCI 商品通道指標；Chande 動量震盪器；Connors RSI；Coppock 曲線,Momentum; Relative Strength Index; Moving Average Convergence/Divergence; Stochastic RSI; Chande Momentum Oscillator; Commodity Channel Index; ConnorsRSI; Coppock Curve,衡量價格推進力度、背離、超買超賣與短線節奏。,"Measures thrust, divergence, overbought/oversold conditions, and short-term rhythm.",適合搭配趨勢方向做進出場時機判斷。,Best paired with trend direction for entry/exit timing.,強趨勢中超買超賣可長時間維持。,Overbought/oversold states can persist in strong trends.
research,實證研究與回測,Research and Backtesting,2,21,大衛・阿隆森,實證技術分析；回測與系統驗證,Evidence-Based Technical Analysis; Backtesting,用統計與資料驗證技術分析是否真的有可重複效果。,Uses statistics and data to test whether technical analysis has repeatable value.,適合篩選可信方法、檢查資料探勘與建立證據標準。,"Best for filtering credible methods, checking data mining, and setting evidence standards.",研究結論常受樣本、成本、存活者偏差與市場變化影響。,"Results depend on samples, costs, survivorship bias, and market changes."
risk,風險與回撤,Risk and Drawdown,2,4,彼得・馬丁；拜倫・麥肯,Ulcer Index；風險 / 回撤,Risk / Drawdown; Ulcer Index,風險與回撤用於補充主要技術分析框架。,Risk and Drawdown complements the main technical-analysis framework.,依指標性質搭配趨勢、動量、量價或風險資料使用。,"Use it with trend, momentum, volume, or risk evidence depending on context.",避免孤立使用單一工具。,Avoid using any single tool in isolation.
