material_id,expert_rank,expert_zh,expert_en,title_zh,title_en,material_type,material_type_zh,material_type_en,year,concepts_zh,concepts_en,source_url,source_title,source_type,source_type_zh,source_type_en,doi,isbn13,openlibrary_key,google_books_id,evidence_level,evidence_level_zh,evidence_level_en,notes_zh,notes_en
1,1,查爾斯・道,Charles H. Dow,《華爾街日報》市場平均指數評論,Wall Street Journal editorials on market averages,editorials,市場評論,Market editorials,1899,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://www.investopedia.com/terms/d/dowtheory.asp,Wall Street Journal editorials on market averages,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",技術分析源流人物之一，道氏理論、趨勢確認與量價觀念皆由其市場評論發展而來。,Research material linked to Charles H. Dow for Dow Theory; Trend Following.
3,1,查爾斯・道,Charles H. Dow,參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,source,參考來源,Reference source,,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",技術分析源流人物之一，道氏理論、趨勢確認與量價觀念皆由其市場評論發展而來。,Research material linked to Charles H. Dow for Dow Theory; Trend Following.
2,1,查爾斯・道,Charles H. Dow,參考來源：https://www.investopedia.com/terms/d/dowtheory.asp,Reference source: https://www.investopedia.com/terms/d/dowtheory.asp,source,參考來源,Reference source,,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://www.investopedia.com/terms/d/dowtheory.asp,https://www.investopedia.com/terms/d/dowtheory.asp,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",技術分析源流人物之一，道氏理論、趨勢確認與量價觀念皆由其市場評論發展而來。,Research material linked to Charles H. Dow for Dow Theory; Trend Following.
4,2,威廉・彼得・漢密爾頓,William Peter Hamilton,《股票市場晴雨表》,The Stock Market Barometer,book,書籍,Book,1922,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,The Stock Market Barometer,book_reference,書籍參考,Book reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。,Research material linked to William Peter Hamilton for Dow Theory; Trend Following.
6,2,威廉・彼得・漢密爾頓,William Peter Hamilton,參考來源：https://archive.org/details/stockmarketbarom00hami,Reference source: https://archive.org/details/stockmarketbarom00hami,source,參考來源,Reference source,,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://archive.org/details/stockmarketbarom00hami,https://archive.org/details/stockmarketbarom00hami,web_reference,網頁參考,Web reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。,Research material linked to William Peter Hamilton for Dow Theory; Trend Following.
7,2,威廉・彼得・漢密爾頓,William Peter Hamilton,參考來源：https://openlibrary.org/books/OL7031671M/The_stock_market_barometer,Reference source: https://openlibrary.org/books/OL7031671M/The_stock_market_barometer,source,參考來源,Reference source,,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://openlibrary.org/books/OL7031671M/The_stock_market_barometer,https://openlibrary.org/books/OL7031671M/The_stock_market_barometer,book_catalog,書目資料,Book catalog,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。,Research material linked to William Peter Hamilton for Dow Theory; Trend Following.
5,2,威廉・彼得・漢密爾頓,William Peter Hamilton,參考來源：https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,Reference source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,source,參考來源,Reference source,,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,web_reference,網頁參考,Web reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。,Research material linked to William Peter Hamilton for Dow Theory; Trend Following.
8,3,羅伯特・里亞,Robert Rhea,《道氏理論》,The Dow Theory,book,書籍,Book,1932,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ,The Dow Theory,book_catalog,書目資料,Book catalog,,,,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",以《The Dow Theory》整理 Dow 與 Hamilton 的觀念，對後來技術分析教材影響很深。,Research material linked to Robert Rhea for Dow Theory; Trend Following.
9,3,羅伯特・里亞,Robert Rhea,參考來源：https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ,Reference source: https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ,source,參考來源,Reference source,,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ,book_catalog,書目資料,Book catalog,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",以《The Dow Theory》整理 Dow 與 Hamilton 的觀念，對後來技術分析教材影響很深。,Research material linked to Robert Rhea for Dow Theory; Trend Following.
10,3,羅伯特・里亞,Robert Rhea,參考來源：https://openlibrary.org/books/OL6279382M/The_Dow_theory,Reference source: https://openlibrary.org/books/OL6279382M/The_Dow_theory,source,參考來源,Reference source,,道氏理論；趨勢跟隨,Dow Theory; Trend Following,https://openlibrary.org/books/OL6279382M/The_Dow_theory,https://openlibrary.org/books/OL6279382M/The_Dow_theory,book_catalog,書目資料,Book catalog,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",以《The Dow Theory》整理 Dow 與 Hamilton 的觀念，對後來技術分析教材影響很深。,Research material linked to Robert Rhea for Dow Theory; Trend Following.
