rank,name_zh,name_en,country_region,years,role,category,main_concepts_zh,notable_works,total_score,why_selected_zh,sources
1,查爾斯・道,Charles H. Dow,United States,1851-1902,金融記者、道氏理論奠基者,foundation,道氏理論(奠基者)；趨勢跟隨(早期趨勢概念),Wall Street Journal editorials on market averages,23,技術分析源流人物之一，道氏理論、趨勢確認與量價觀念皆由其市場評論發展而來。,https://www.investopedia.com/terms/d/dowtheory.asp；https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp
2,威廉・彼得・漢密爾頓,William Peter Hamilton,United States,1867-1929,道氏理論實踐者、作家,foundation,道氏理論(主要詮釋者)；趨勢跟隨(趨勢判讀),The Stock Market Barometer,21,把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690；https://archive.org/details/stockmarketbarom00hami；https://openlibrary.org/books/OL7031671M/The_stock_market_barometer
3,羅伯特・里亞,Robert Rhea,United States,1887-1939,道氏理論作家、通訊作者,foundation,道氏理論(系統化整理者)；趨勢跟隨(趨勢確認),The Dow Theory,21,以《The Dow Theory》整理 Dow 與 Hamilton 的觀念，對後來技術分析教材影響很深。,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ；https://openlibrary.org/books/OL6279382M/The_Dow_theory
4,理查・威科夫,Richard D. Wyckoff,United States,1873-1934,市場操作者、教育者、作家,foundation,威科夫方法(創始者)；成交量分析(量價分析)；讀帶 / 盤口判讀(讀帶),Studies in Tape Reading；How I Trade and Invest in Stocks and Bonds,24,威科夫方法以供需、量價、累積/派發分析股票，是現代價格行為與量價交易的重要基礎。,https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial
5,傑西・李佛摩,Jesse Livermore,United States,1877-1940,股票與商品交易者,practitioner,讀帶 / 盤口判讀(代表性實踐者)；價格行為(價格行為)；趨勢跟隨(趨勢交易),How to Trade in Stocks,19,以價格行為、關鍵價位與趨勢操作聞名，雖非學院派作者，但對後世交易方法影響巨大。,https://en.wikipedia.org/wiki/Jesse_Livermore
6,威廉・江恩,W. D. Gann,United States,1878-1955,交易者、作家,foundation,江恩理論(創始者)；週期分析(週期分析)；支撐阻力(角度/價位),Truth of the Stock Tape；45 Years in Wall Street,22,江恩角度、時間循環、價格幾何在技術分析史上具代表性，適合歸於週期與時間價格分析資料。,https://en.wikipedia.org/wiki/William_Delbert_Gann
7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,United States,1871-1948,會計師、波浪理論創始者,foundation,艾略特波浪(創始者)；週期分析(市場循環),The Wave Principle,22,艾略特波浪是最知名的技術分析分支之一，常用於股票指數、外匯與商品的趨勢結構判讀。,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott；https://www.investopedia.com/terms/e/elliottwavetheory.asp
8,理查・沙巴克,Richard W. Schabacker,United States,1899-1935,金融編輯、技術分析作家,author,圖表型態(早期系統化作者)；支撐阻力(型態與趨勢線),Technical Analysis and Stock Market Profits,21,把圖表型態、趨勢、支撐阻力整理成完整技術分析體系，並影響 Edwards 與 Magee。,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164；https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns
9,羅伯特・愛德華茲,Robert D. Edwards,United States,1893-1964,技術分析作家,author,圖表型態(經典教材作者)；支撐阻力(型態分析),Technical Analysis of Stock Trends,22,與 John Magee 合著的《Technical Analysis of Stock Trends》是圖表型態領域最常被引用的經典之一。,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp
10,約翰・麥基,John Magee,United States,1901-1987,技術分析作家,author,圖表型態(經典教材作者)；支撐阻力(型態分析),Technical Analysis of Stock Trends,22,與 Edwards 共同建立現代圖表型態教材框架，對股票技術分析教育影響深。,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp
11,約翰・墨菲,John J. Murphy,United States,1942-,技術分析師、作家,author,移動平均(教材作者)；圖表型態(教材作者)；市場寬度(市場分析),Technical Analysis of the Financial Markets,23,綜合型技術分析教材代表作者，涵蓋趨勢、型態、指標、跨市場分析與期貨/股票應用。,https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661；https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp
12,馬丁・普林格,Martin J. Pring,United Kingdom / United States,1943-,技術分析師、作家,author,動量(指標與教材作者)；週期分析(景氣/市場循環)；趨勢跟隨(趨勢判讀),Technical Analysis Explained,23,著作廣、教材地位高，特別適合整理動量、週期、趨勢與市場心理指標。,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020；https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp
13,傑克・施瓦格,Jack D. Schwager,United States,1948-,作家、基金與交易研究者,author,圖表型態(教材作者)；交易系統(交易方法整理)；價格行為(交易者訪談),Getting Started in Technical Analysis；Market Wizards,20,技術分析入門書與 Market Wizards 訪談系列讓大量實戰交易方法被系統化保存。,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426；https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp
14,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,United States,,CMT、作家、研究者,author_researcher,相對強弱 / 強勢股篩選(研究者)；道氏理論(Dow Award 研究)；股票選股(選股研究),Technical Analysis: The Complete Resource for Financial Market Technicians；Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years,22,兼具 CMT 教材作者與 Charles H. Dow Award 研究紀錄，適合放入相對強弱與股票選股研究。,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
15,茱莉・達爾奎斯特,Julie R. Dahlquist,United States,,學者、CMT、教材作者,author_researcher,圖表型態(教材作者)；回測與系統驗證(缺口策略研究)；實證技術分析(研究者),Technical Analysis: The Complete Resource for Financial Market Technicians；Analyzing Gaps for Profitable Trading Strategies,22,CMT 教材合著者與 Dow Award 得主，適合記錄缺口、教材與技術分析研究方法。,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
16,史蒂文・阿契利斯,Steven B. Achelis,United States,,技術指標百科作者、MetaStock 相關作者,author,移動平均(百科作者)；動量(百科作者)；成交量分析(百科作者),Technical Analysis from A to Z,19,以指標百科型著作著稱，對建立技術指標資料庫很有參考價值。,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
17,羅伯特・科爾比,Robert W. Colby,United States,,技術指標百科作者,author,移動平均(百科作者)；動量(百科作者)；實證技術分析(指標彙整),The Encyclopedia of Technical Market Indicators,20,《The Encyclopedia of Technical Market Indicators》彙整大量指標，是資料庫型研究的重要來源。,https://www.mheducation.com/highered/mhp/product/encyclopedia-technical-market-indicators-second-edition.html；https://openlibrary.org/books/OL17060688M/The_encyclopedia_of_technical_market_indicators；https://books.google.com/books/about/The_Encyclopedia_Of_Technical_Market_Ind.html?id=f82LUFQVGOUC
18,佩里・考夫曼,Perry J. Kaufman,United States,,量化交易系統作者,system_developer,KAMA 考夫曼自適應均線(創始者)；自適應均線(創始者)；交易系統(系統交易作者),Trading Systems and Methods；Smarter Trading,23,在交易系統與自適應均線方面影響大，KAMA 是技術指標資料庫必收項。,https://trendspider.com/learning-center/what-is-the-kaufman-adaptive-moving-average/
19,威爾斯・威爾德,J. Welles Wilder Jr.,United States,1935-2021,指標創作者、作家,indicator_creator,RSI 相對強弱指數(創始者)；ADX / DMI(創始者)；ATR 平均真實波幅(創始者)；Parabolic SAR(創始者),New Concepts in Technical Trading Systems,25,RSI、ADX/DMI、ATR、Parabolic SAR 等多個核心指標皆出自其 1978 年著作。,https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ；https://www.investopedia.com/terms/r/rsi.asp
20,傑拉德・阿佩爾,Gerald Appel,United States,1933-2020,技術分析師、作家、指標創作者,indicator_creator,MACD(創始者)；移動平均(動量均線),Technical Analysis: Power Tools for Active Investors,24,MACD 創作者，MACD 是全球交易平台中最普及的動量/趨勢指標之一。,https://cmtassociation.org/presenter/gerald-appel/；https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html；https://www.investopedia.com/trading/macd/
21,約翰・布林格,John Bollinger,United States,1950-,CFA、CMT、指標創作者,indicator_creator,布林通道(創始者)；波動率(波動通道),Bollinger on Bollinger Bands,24,布林通道創作者，對波動率自適應通道與相對高低位判讀具核心地位。,https://www.bollingerbands.com/；https://www.bollingercapital.com/team
22,喬治・藍恩,George C. Lane,United States,1921-2004,交易者、教育者、指標推廣者,indicator_creator,隨機指標(創始/推廣者)；動量(動量先行觀念),Lane's Stochastics,21,隨機指標代表人物；Stochastic 與 RSI、MACD 同屬最普及動量指標。,https://www.investopedia.com/terms/s/stochasticoscillator.asp；https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full
23,理查・唐奇安,Richard Donchian,United States,1905-1993,趨勢跟隨先驅、基金經理,indicator_creator,唐奇安通道(創始者)；趨勢跟隨(趨勢跟隨先驅),Commodity Trend Timing,22,被視為趨勢跟隨與管理期貨先驅，唐奇安通道是突破交易和 Turtle 系統的重要基礎。,https://www.investopedia.com/donchian-channels-formula-8415235；https://en.wikipedia.org/wiki/Richard_Donchian
24,圖沙・昌德,Tushar S. Chande,India / United States,,指標創作者、量化研究者,indicator_creator,Aroon 指標(創始者)；Chande 動量震盪器(創始者)；VIDYA 動態平均(創始者)；隨機 RSI(共同創始者),The New Technical Trader,24,Aroon、CMO、VIDYA、StochRSI 等多個指標與其相關，是技術指標資料庫的重點人物。,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon；https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmo；https://www.investopedia.com/terms/s/stochrsi.asp
25,史丹利・克羅爾,Stanley Kroll,United States,,交易系統作者、指標共同作者,indicator_creator,隨機 RSI(共同創始者)；VIDYA 動態平均(共同作者)；交易系統(交易系統),The New Technical Trader,18,與 Tushar Chande 合作提出 StochRSI 與相關動態指標方法。,https://www.investopedia.com/terms/s/stochrsi.asp；https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html
26,唐納德・蘭伯特,Donald R. Lambert,United States,,指標創作者,indicator_creator,CCI 商品通道指標(創始者)；週期分析(商品週期),Commodity Channel Index,20,CCI 創作者；CCI 從商品週期工具延伸到股票、ETF、外匯等市場。,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci
27,拉瑞・威廉斯,Larry Williams,United States,1942-,交易者、作家、指標創作者,indicator_creator,Williams %R(創始者)；動量(短線動量)；市場寬度(Dow Award 研究),How I Made One Million Dollars Last Year Trading Commodities；The Ripple Effect of Daily New Lows,24,Williams %R、Ultimate Oscillator 等工具與多本交易著作皆具影響力，亦為 2024 Dow Award 共同得主。,https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r；https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
28,馬克・柴金,Marc Chaikin,United States,,技術分析師、指標創作者,indicator_creator,Chaikin 資金流(創始者)；成交量分析(量價/資金流),Chaikin Money Flow,20,Chaikin Money Flow 與 Chaikin 系列量價指標被廣泛內建於交易平台。,https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf；https://chaikinanalytics.com/
29,約瑟夫・格蘭維爾,Joseph Granville,United States,1923-2013,市場通訊作者、指標創作者,indicator_creator,OBV 能量潮(創始者)；成交量分析(量價分析),Granville's New Key to Stock Market Profits,22,OBV 創作者，將成交量作為價格先行壓力的概念推廣到股票市場。,https://www.investopedia.com/terms/o/onbalancevolume.asp；https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits；https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ
30,謝爾曼・麥克萊倫,Sherman McClellan,United States,,市場寬度指標創作者,indicator_creator,McClellan Oscillator(共同創始者)；市場寬度(市場寬度),Patterns for Profit,20,與 Marian McClellan 共同開發 McClellan Oscillator 與 Summation Index。,https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/；https://www.investopedia.com/terms/m/mcclellanoscillator.asp
31,瑪麗安・麥克萊倫,Marian McClellan,United States,,市場寬度指標共同創作者,indicator_creator,McClellan Oscillator(共同創始者)；市場寬度(市場寬度),Patterns for Profit,20,McClellan Oscillator 共同創作者，對廣度動量與市場內部結構研究具代表性。,https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/；https://www.investopedia.com/terms/m/mcclellanoscillator.asp
32,理查・阿姆斯,Richard W. Arms Jr.,United States,1930-2018,市場寬度指標創作者,indicator_creator,TRIN / Arms Index(創始者)；市場寬度(市場寬度)；成交量分析(成交量廣度),The Arms Index,20,TRIN/Arms Index 將漲跌家數與成交量結合，是經典市場寬度與短線情緒工具。,https://chartschool.stockcharts.com/table-of-contents/market-indicators/arms-index-trin；https://www.investopedia.com/terms/a/arms.asp
33,艾德溫・科波克,Edwin S. Coppock,United States,1918-1999,經濟學家、指標創作者,indicator_creator,Coppock 曲線(創始者)；動量(長期動量),Coppock Curve,20,Coppock Curve 是長期市場底部與月線動量判讀的經典工具。,https://en.wikipedia.org/wiki/Coppock_curve；https://www.investopedia.com/articles/active-trading/031814/using-coppock-curve-generate-stock-trade-signals.asp；https://www.incrediblecharts.com/indicators/coppock_indicator.php
34,湯姆・迪馬克,Tom DeMark,United States,,指標創作者、機構顧問,indicator_creator,DeMark 指標(創始者)；市場時機(市場時機),The New Science of Technical Analysis；DeMARK Indicators,24,DeMARK 指標系列在機構交易與市場時機判斷中知名度高，官方資料稱其為 DeMARK Indicators 創作者。,https://demark.com/about/；https://demark.com/demark-indicators/
35,亞歷山大・艾爾德,Alexander Elder,United States,1950-,交易者、心理醫師、作家,indicator_creator,Elder-Ray(創始者)；Force Index(創始者)；交易系統(Triple Screen),Trading for a Living,24,Elder-Ray、Force Index 與 Triple Screen 系統將趨勢、動量、量能與交易心理結合。,https://www.investopedia.com/articles/trading/03/022603.asp
36,史蒂夫・尼森,Steve Nison,United States,,K 線技術分析作家,author,K 線 / 蠟燭圖(西方推廣者)；圖表型態(K 線型態),Japanese Candlestick Charting Techniques,23,被其官方網站稱為把日本蠟燭圖帶入西方世界的權威，對全球 K 線教材影響極大。,https://candlecharts.com/about-steve-nison/；https://openlibrary.org/books/OL1864784M/Japanese_candlestick_charting_techniques；https://www.amazon.com/Japanese-Candlestick-Charting-Techniques-Second/dp/0735201811
37,細田悟一,Goichi Hosoda,Japan,1898-1982,一目均衡表創始者、記者,indicator_creator,一目均衡表(創始者)；趨勢跟隨(趨勢/支撐阻力),Ichimoku Kinko Hyo,22,一目均衡表創始者，將趨勢、動量、支撐阻力與時間概念整合為完整系統。,https://www.investopedia.com/terms/i/ichimoku-cloud.asp；https://www.swissquote.com/en-ch/private/inspire/blog/technical-analysis/what-ichimoku-kinko-hyo-trading-method
38,本間宗久,Munehisa Homma,Japan,1724-1803,米商、蠟燭圖傳統人物,foundation,K 線 / 蠟燭圖(歷史源流)；價格行為(市場心理),Sakata Rules,18,常被列為日本 K 線與市場心理分析源流人物；適合記錄在蠟燭圖歷史欄位。,https://en.wikipedia.org/wiki/Munehisa_Homma；https://www.hotcandlestick.com/candlesticks.htm；https://ftmo.com/en/blog/technical-analysis-history-of-candlestick-charts/
39,湯瑪斯・布考斯基,Thomas N. Bulkowski,United States,,圖表型態統計作者,author_researcher,圖表型態(統計研究者)；K 線 / 蠟燭圖(型態統計)；回測與系統驗證(歷史樣本統計),Encyclopedia of Chart Patterns,23,以大量歷史樣本統計圖表型態與 K 線表現，是型態資料庫的重要參考人物。,https://thepatternsite.com/；https://www.amazon.com/Encyclopedia-Chart-Patterns-Thomas-Bulkowski/dp/0471668265
40,路易絲・山田,Louise Yamada,United States,,CMT、機構技術分析師,practitioner,相對強弱 / 強勢股篩選(機構技術研究)；趨勢跟隨(長期趨勢)；支撐阻力(長期底部/頂部),Market Magic: Riding the Greatest Bull Market of the Century,20,前 Smith Barney/Citigroup 技術研究主管與 CMT Lifetime Achievement 得主，代表機構級技術分析。,https://cmtassociation.org/presenter/louise-yamada/；https://www.lyadvisors.com/
41,拉爾夫・阿坎波拉,Ralph Acampora,United States,,技術分析師、教育者,practitioner,趨勢跟隨(市場歷史)；圖表型態(教育者)；道氏理論(市場技術史),The Fourth Mega-Market,20,被 NYIF 描述為華爾街受尊敬的技術分析師與市場歷史研究者，教育與業界影響力高。,https://www.nyif.com/faculties/acampora-ralph
42,羅伯特・普萊切特,Robert Prechter,United States,1949-,艾略特波浪分析師、作家,author,艾略特波浪(推廣者/作者)；市場情緒(社會情緒與市場),Elliott Wave Principle,23,將艾略特波浪重新推廣成全球知名方法，與 A. J. Frost 合著經典教材。,https://en.wikipedia.org/wiki/Robert_Prechter；https://www.amazon.com/Elliott-Wave-Principle-Key-Market/dp/1616041374
43,A・J・佛羅斯特,A. J. Frost,Canada,1908-1999,艾略特波浪作者,author,艾略特波浪(經典教材共同作者),Elliott Wave Principle,20,與 Robert Prechter 合著《Elliott Wave Principle》，是波浪理論教材化的重要人物。,https://www.amazon.com/Elliott-Wave-Principle-Key-Market/dp/1616041374；https://www.elliottwave.com/books/elliott-wave-principle/
44,格倫・尼利,Glenn Neely,United States,,艾略特波浪分析師、作家,author,艾略特波浪(規則化作者)；交易系統(波浪規則),Mastering Elliott Wave,20,嘗試把艾略特波浪規則化與更嚴格分類，適合記錄於波浪理論研究分支。,https://www.amazon.com/Mastering-Elliott-Wave-Glenn-Neely/dp/0930233441；https://www.neowave.com/product-book.asp；https://glennneely.com/
45,艾德森・古爾德,Edson Gould,United States,1902-1987,市場技術分析師,foundation,市場情緒(情緒/心理指標)；市場寬度(市場指標)；趨勢跟隨(長期市場判斷),Findings & Forecasts,19,Investopedia 將其列為技術分析先驅之一，以 Senti-Meter 等長期市場指標聞名。,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp；https://chartschool.stockcharts.com/table-of-contents/chart-analysis/chart-annotation-tools/speed-resistance-lines；https://www.mcoscillator.com/learning_center/weekly_chart/edson_goulds_daily_point_index/
46,保羅・德斯蒙德,Paul Desmond,United States,,市場技術研究者,researcher,市場寬度(熊市底部研究)；市場情緒(市場底部)；道氏理論(Dow Award 得主),Identifying Bear Market Bottoms and New Bull Markets,20,2002 Charles H. Dow Award 得主，研究熊市底部與新牛市確認，適合市場寬度/底部研究資料庫。,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
