score,grade,type,h1,route,notes
"85","B+","首頁","先判斷市況，再把指標變成交易劇本","#/","資料完整"
"84","B","指標庫","全部技術指標","#/indicators","指標庫可加入難度、用途、重複性和推薦學習順序的總覽表"
"83","B","工具頁","固定指標比較","#/compare","工具頁可補更完整範例資料與輸出解讀標準"
"87","B+","工具頁","交易前練習場","#/playground","工具頁可補更完整範例資料與輸出解讀標準"
"88","B+","工具頁","歷史型市況案例庫","#/casebook","工具頁可補更完整範例資料與輸出解讀標準"
"83","B","工具頁","術語表","#/glossary","工具頁可補更完整範例資料與輸出解讀標準"
"82","B","工具頁","收藏/訂閱與本地資料","#/subscribe","文字量偏少；工具頁可補更完整範例資料與輸出解讀標準"
"88","B+","工具頁","交易日誌模板","#/journal","工具頁可補更完整範例資料與輸出解讀標準"
"85","B+","工具頁","指標組合檢查器","#/combo","工具頁可補更完整範例資料與輸出解讀標準"
"86","B+","工具頁","TradingView 策略研究","#/tv-strategies","工具頁可補更完整範例資料與輸出解讀標準"
"76","C","策略案例庫","高勝率與高 PF 交易策略案例","#/strategy-cases","章節層次不足；策略列表需增加分類、可信度評級、資產/週期篩選與過度擬合警示"
"79","C","腳本頁","把交易前檢查放到 TradingView 圖表上","#/script","文字量偏少；腳本頁需補完整 Pine 範例、警報條件、輸入參數和常見錯誤"
"79","C","腳本頁","同一個訊號，放在不同市況會有不同結論","#/script-demo","文字量偏少；腳本頁需補完整 Pine 範例、警報條件、輸入參數和常見錯誤"
"79","C","腳本頁","先試用，再決定是否放進你的圖表","#/trial","文字量偏少；腳本頁需補完整 Pine 範例、警報條件、輸入參數和常見錯誤"
"84","B","陰陽燭","陰陽燭先看攻防，不是背名","#/candlesticks","陰陽燭頁需增加更多圖例、失敗案例、不同市場/週期適用性"
"81","B","陰陽燭","陰陽燭結構：開高低收、實體與影線","#/candlesticks/anatomy","文字量偏少；陰陽燭頁需增加更多圖例、失敗案例、不同市場/週期適用性"
"88","B+","陰陽燭","陰陽燭形態庫：形態必須配合位置判斷","#/candlesticks/patterns","資料完整"
"84","B","陰陽燭","陰陽燭情境判讀：位置、趨勢、成交量","#/candlesticks/context","陰陽燭頁需增加更多圖例、失敗案例、不同市場/週期適用性"
"84","B","陰陽燭","陰陽燭交易劇本：由訊號到止蝕","#/candlesticks/playbook","陰陽燭頁需增加更多圖例、失敗案例、不同市場/週期適用性"
"84","B","陰陽燭","陰陽燭錯誤案例：最常見虧損用法","#/candlesticks/mistakes","陰陽燭頁需增加更多圖例、失敗案例、不同市場/週期適用性"
"94","A","技術指標","簡單移動平均線","#/indicators/sma","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","指數移動平均線","#/indicators/ema","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","加權移動平均線","#/indicators/wma","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","赫爾移動平均線","#/indicators/hma","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","考夫曼自適應均線","#/indicators/kama","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","均線帶","#/indicators/ma-ribbon","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","指數平滑異同移動平均線","#/indicators/macd","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","相對強弱指數","#/indicators/rsi","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","隨機指標","#/indicators/stochastic","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","隨機 RSI","#/indicators/stochastic-rsi","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","商品通道指數","#/indicators/cci","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","變動率","#/indicators/roc","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","動量指標","#/indicators/momentum","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","威廉指標","#/indicators/williams-r","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","三重指數平滑平均","#/indicators/trix","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","終極震盪指標","#/indicators/ultimate-oscillator","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","真實強弱指數","#/indicators/tsi","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","動量震盪器","#/indicators/awesome-oscillator","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","平均趨向指數","#/indicators/adx","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","阿隆指標","#/indicators/aroon","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","超級趨勢線","#/indicators/supertrend","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","拋物線轉向指標","#/indicators/psar","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","一目均衡表","#/indicators/ichimoku","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","趨向指標","#/indicators/dmi","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","布林帶","#/indicators/bollinger-bands","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","肯特納通道","#/indicators/keltner-channel","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","唐奇安通道","#/indicators/donchian-channel","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","平均真實波幅","#/indicators/atr","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","標準差","#/indicators/standard-deviation","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","波動止蝕","#/indicators/volatility-stop","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","能量潮","#/indicators/obv","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","成交量","#/indicators/volume","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","成交量均線","#/indicators/volume-ma","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","成交量加權平均價","#/indicators/vwap","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","資金流量指標","#/indicators/mfi","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","蔡金資金流量","#/indicators/chaikin-money-flow","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","累積派發線","#/indicators/accumulation-distribution","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","強力指數","#/indicators/force-index","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","簡易波動指標","#/indicators/ease-of-movement","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","樞軸點","#/indicators/pivot-points","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","斐波那契回調","#/indicators/fibonacci-retracement","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","支撐與阻力","#/indicators/support-resistance","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","價格通道","#/indicators/price-channel","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","趨勢線","#/indicators/trendline","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","吊燈止蝕","#/indicators/chandelier-exit","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","艾達透視指標","#/indicators/elder-ray","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","相對強弱比較","#/indicators/relative-strength-comparative","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","貝塔係數","#/indicators/beta","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
