concept_slug,concept_zh,concept_en,family,expert_rank,expert_zh,expert_en,relation
dow-theory,道氏理論,Dow Theory,foundation,1,查爾斯・道,Charles H. Dow,奠基者
trend-following,趨勢跟隨,Trend Following,trend,1,查爾斯・道,Charles H. Dow,早期趨勢概念
dow-theory,道氏理論,Dow Theory,foundation,2,威廉・彼得・漢密爾頓,William Peter Hamilton,主要詮釋者
trend-following,趨勢跟隨,Trend Following,trend,2,威廉・彼得・漢密爾頓,William Peter Hamilton,趨勢判讀
dow-theory,道氏理論,Dow Theory,foundation,3,羅伯特・里亞,Robert Rhea,系統化整理者
trend-following,趨勢跟隨,Trend Following,trend,3,羅伯特・里亞,Robert Rhea,趨勢確認
wyckoff-method,威科夫方法,Wyckoff Method,volume,4,理查・威科夫,Richard D. Wyckoff,創始者
volume-analysis,成交量分析,Volume Analysis,volume,4,理查・威科夫,Richard D. Wyckoff,量價分析
tape-reading,讀帶 / 盤口判讀,Tape Reading,charting,4,理查・威科夫,Richard D. Wyckoff,讀帶
tape-reading,讀帶 / 盤口判讀,Tape Reading,charting,5,傑西・李佛摩,Jesse Livermore,代表性實踐者
price-action,價格行為,Price Action,charting,5,傑西・李佛摩,Jesse Livermore,價格行為
trend-following,趨勢跟隨,Trend Following,trend,5,傑西・李佛摩,Jesse Livermore,趨勢交易
gann,江恩理論,Gann Methods,cycle,6,威廉・江恩,W. D. Gann,創始者
cycle-analysis,週期分析,Cycle Analysis,cycle,6,威廉・江恩,W. D. Gann,週期分析
support-resistance,支撐阻力,Support and Resistance,charting,6,威廉・江恩,W. D. Gann,角度/價位
elliott-wave,艾略特波浪,Elliott Wave,wave,7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,創始者
cycle-analysis,週期分析,Cycle Analysis,cycle,7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,市場循環
chart-patterns,圖表型態,Chart Patterns,charting,8,理查・沙巴克,Richard W. Schabacker,早期系統化作者
support-resistance,支撐阻力,Support and Resistance,charting,8,理查・沙巴克,Richard W. Schabacker,型態與趨勢線
chart-patterns,圖表型態,Chart Patterns,charting,9,羅伯特・愛德華茲,Robert D. Edwards,經典教材作者
support-resistance,支撐阻力,Support and Resistance,charting,9,羅伯特・愛德華茲,Robert D. Edwards,型態分析
chart-patterns,圖表型態,Chart Patterns,charting,10,約翰・麥基,John Magee,經典教材作者
support-resistance,支撐阻力,Support and Resistance,charting,10,約翰・麥基,John Magee,型態分析
moving-average,移動平均,Moving Average,trend,11,約翰・墨菲,John J. Murphy,教材作者
chart-patterns,圖表型態,Chart Patterns,charting,11,約翰・墨菲,John J. Murphy,教材作者
breadth,市場寬度,Market Breadth,breadth,11,約翰・墨菲,John J. Murphy,市場分析
momentum,動量,Momentum,momentum,12,馬丁・普林格,Martin J. Pring,指標與教材作者
cycle-analysis,週期分析,Cycle Analysis,cycle,12,馬丁・普林格,Martin J. Pring,景氣/市場循環
trend-following,趨勢跟隨,Trend Following,trend,12,馬丁・普林格,Martin J. Pring,趨勢判讀
chart-patterns,圖表型態,Chart Patterns,charting,13,傑克・施瓦格,Jack D. Schwager,教材作者
systems-trading,交易系統,Trading Systems,systems,13,傑克・施瓦格,Jack D. Schwager,交易方法整理
price-action,價格行為,Price Action,charting,13,傑克・施瓦格,Jack D. Schwager,交易者訪談
relative-strength,相對強弱 / 強勢股篩選,Relative Strength,stock_selection,14,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,研究者
dow-theory,道氏理論,Dow Theory,foundation,14,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,Dow Award 研究
stock_selection,股票選股,Stock Selection,stock_selection,14,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,選股研究
chart-patterns,圖表型態,Chart Patterns,charting,15,茱莉・達爾奎斯特,Julie R. Dahlquist,教材作者
backtesting,回測與系統驗證,Backtesting,research,15,茱莉・達爾奎斯特,Julie R. Dahlquist,缺口策略研究
evidence-based-ta,實證技術分析,Evidence-Based Technical Analysis,research,15,茱莉・達爾奎斯特,Julie R. Dahlquist,研究者
moving-average,移動平均,Moving Average,trend,16,史蒂文・阿契利斯,Steven B. Achelis,百科作者
momentum,動量,Momentum,momentum,16,史蒂文・阿契利斯,Steven B. Achelis,百科作者
volume-analysis,成交量分析,Volume Analysis,volume,16,史蒂文・阿契利斯,Steven B. Achelis,百科作者
moving-average,移動平均,Moving Average,trend,17,羅伯特・科爾比,Robert W. Colby,百科作者
momentum,動量,Momentum,momentum,17,羅伯特・科爾比,Robert W. Colby,百科作者
evidence-based-ta,實證技術分析,Evidence-Based Technical Analysis,research,17,羅伯特・科爾比,Robert W. Colby,指標彙整
kama,KAMA 考夫曼自適應均線,Kaufman Adaptive Moving Average,trend,18,佩里・考夫曼,Perry J. Kaufman,創始者
adaptive-moving-average,自適應均線,Adaptive Moving Average,trend,18,佩里・考夫曼,Perry J. Kaufman,創始者
systems-trading,交易系統,Trading Systems,systems,18,佩里・考夫曼,Perry J. Kaufman,系統交易作者
rsi,RSI 相對強弱指數,Relative Strength Index,momentum,19,威爾斯・威爾德,J. Welles Wilder Jr.,創始者
adx-dmi,ADX / DMI,Average Directional Index / Directional Movement,trend,19,威爾斯・威爾德,J. Welles Wilder Jr.,創始者
atr,ATR 平均真實波幅,Average True Range,volatility,19,威爾斯・威爾德,J. Welles Wilder Jr.,創始者
parabolic-sar,Parabolic SAR,Parabolic SAR,trend,19,威爾斯・威爾德,J. Welles Wilder Jr.,創始者
macd,MACD,Moving Average Convergence/Divergence,momentum,20,傑拉德・阿佩爾,Gerald Appel,創始者
moving-average,移動平均,Moving Average,trend,20,傑拉德・阿佩爾,Gerald Appel,動量均線
bollinger-bands,布林通道,Bollinger Bands,volatility,21,約翰・布林格,John Bollinger,創始者
volatility,波動率,Volatility,volatility,21,約翰・布林格,John Bollinger,波動通道
stochastic,隨機指標,Stochastic Oscillator,momentum,22,喬治・藍恩,George C. Lane,創始/推廣者
momentum,動量,Momentum,momentum,22,喬治・藍恩,George C. Lane,動量先行觀念
donchian-channel,唐奇安通道,Donchian Channel,trend,23,理查・唐奇安,Richard Donchian,創始者
trend-following,趨勢跟隨,Trend Following,trend,23,理查・唐奇安,Richard Donchian,趨勢跟隨先驅
aroon,Aroon 指標,Aroon,trend,24,圖沙・昌德,Tushar S. Chande,創始者
cmo,Chande 動量震盪器,Chande Momentum Oscillator,momentum,24,圖沙・昌德,Tushar S. Chande,創始者
vidya,VIDYA 動態平均,Variable Index Dynamic Average,trend,24,圖沙・昌德,Tushar S. Chande,創始者
stochastic-rsi,隨機 RSI,Stochastic RSI,momentum,24,圖沙・昌德,Tushar S. Chande,共同創始者
stochastic-rsi,隨機 RSI,Stochastic RSI,momentum,25,史丹利・克羅爾,Stanley Kroll,共同創始者
vidya,VIDYA 動態平均,Variable Index Dynamic Average,trend,25,史丹利・克羅爾,Stanley Kroll,共同作者
systems-trading,交易系統,Trading Systems,systems,25,史丹利・克羅爾,Stanley Kroll,交易系統
cci,CCI 商品通道指標,Commodity Channel Index,momentum,26,唐納德・蘭伯特,Donald R. Lambert,創始者
cycle-analysis,週期分析,Cycle Analysis,cycle,26,唐納德・蘭伯特,Donald R. Lambert,商品週期
williams-r,Williams %R,Williams %R,momentum,27,拉瑞・威廉斯,Larry Williams,創始者
momentum,動量,Momentum,momentum,27,拉瑞・威廉斯,Larry Williams,短線動量
breadth,市場寬度,Market Breadth,breadth,27,拉瑞・威廉斯,Larry Williams,Dow Award 研究
chaikin-money-flow,Chaikin 資金流,Chaikin Money Flow,volume,28,馬克・柴金,Marc Chaikin,創始者
volume-analysis,成交量分析,Volume Analysis,volume,28,馬克・柴金,Marc Chaikin,量價/資金流
obv,OBV 能量潮,On-Balance Volume,volume,29,約瑟夫・格蘭維爾,Joseph Granville,創始者
volume-analysis,成交量分析,Volume Analysis,volume,29,約瑟夫・格蘭維爾,Joseph Granville,量價分析
mcclellan-oscillator,McClellan Oscillator,McClellan Oscillator,breadth,30,謝爾曼・麥克萊倫,Sherman McClellan,共同創始者
breadth,市場寬度,Market Breadth,breadth,30,謝爾曼・麥克萊倫,Sherman McClellan,市場寬度
mcclellan-oscillator,McClellan Oscillator,McClellan Oscillator,breadth,31,瑪麗安・麥克萊倫,Marian McClellan,共同創始者
breadth,市場寬度,Market Breadth,breadth,31,瑪麗安・麥克萊倫,Marian McClellan,市場寬度
trin-arms-index,TRIN / Arms Index,Arms Index,breadth,32,理查・阿姆斯,Richard W. Arms Jr.,創始者
breadth,市場寬度,Market Breadth,breadth,32,理查・阿姆斯,Richard W. Arms Jr.,市場寬度
volume-analysis,成交量分析,Volume Analysis,volume,32,理查・阿姆斯,Richard W. Arms Jr.,成交量廣度
coppock-curve,Coppock 曲線,Coppock Curve,momentum,33,艾德溫・科波克,Edwin S. Coppock,創始者
momentum,動量,Momentum,momentum,33,艾德溫・科波克,Edwin S. Coppock,長期動量
demark-indicators,DeMark 指標,DeMARK Indicators,market_timing,34,湯姆・迪馬克,Tom DeMark,創始者
market_timing,市場時機,Market Timing,market_timing,34,湯姆・迪馬克,Tom DeMark,市場時機
elder-ray,Elder-Ray,Elder-Ray Index,momentum,35,亞歷山大・艾爾德,Alexander Elder,創始者
force-index,Force Index,Force Index,volume,35,亞歷山大・艾爾德,Alexander Elder,創始者
systems-trading,交易系統,Trading Systems,systems,35,亞歷山大・艾爾德,Alexander Elder,Triple Screen
candlestick,K 線 / 蠟燭圖,Candlestick Charting,charting,36,史蒂夫・尼森,Steve Nison,西方推廣者
chart-patterns,圖表型態,Chart Patterns,charting,36,史蒂夫・尼森,Steve Nison,K 線型態
ichimoku,一目均衡表,Ichimoku Kinko Hyo,trend,37,細田悟一,Goichi Hosoda,創始者
trend-following,趨勢跟隨,Trend Following,trend,37,細田悟一,Goichi Hosoda,趨勢/支撐阻力
candlestick,K 線 / 蠟燭圖,Candlestick Charting,charting,38,本間宗久,Munehisa Homma,歷史源流
