expert_id,rank,name_zh,name_en,country_region,years,role,category,category_zh,category_en,total_score,concepts_zh,concepts_en,research_focus_zh,research_focus_en,representative_materials_zh,representative_materials_en,bilingual_research_summary_zh,bilingual_research_summary_en,material_count,source_count,high_evidence_count,book_count,paper_article_count,evidence_profile_zh,evidence_profile_en,authority_tier_zh,authority_tier_en,winning_concepts_zh,winning_concepts_en,winning_concept_count,winner_role_count,strong_candidate_count,important_complement_count,best_use_case_zh,best_use_case_en,integrated_note_zh,integrated_note_en
charles-h-dow,1,查爾斯・道,Charles H. Dow,United States,1851-1902,金融記者、道氏理論奠基者,foundation,理論奠基者,Foundational theorist,23,道氏理論（奠基者）；趨勢跟隨（早期趨勢概念）,Dow Theory (founder); Trend Following (early trend concept),技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨,"core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following",《華爾街日報》市場平均指數評論（1899）；參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp；參考來源：https://www.investopedia.com/terms/d/dowtheory.asp,Wall Street Journal editorials on market averages (1899); Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp; Reference source: https://www.investopedia.com/terms/d/dowtheory.asp,查爾斯・道（Charles H. Dow）定位為理論奠基者。研究/貢獻重點集中在道氏理論（奠基者）；趨勢跟隨（早期趨勢概念）。代表資料包括《華爾街日報》市場平均指數評論（1899）；參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp；參考來源：https://www.investopedia.com/terms/d/dowtheory.asp。可用於技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Charles H. Dow (查爾斯・道) is classified as a Foundational theorist. The research/contribution focus is Dow Theory (founder); Trend Following (early trend concept). Representative materials include Wall Street Journal editorials on market averages (1899); Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp; Reference source: https://www.investopedia.com/terms/d/dowtheory.asp. The work is useful for core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,重要權威,Major authority,道氏理論,Dow Theory,1,1,0,1,優先用於：技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Best used for: core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",查爾斯・道在完整資料庫中屬於重要權威，可從其代表材料與優勝指標交叉研究。,Charles H. Dow is a Major authority in the complete database; study the representative materials together with the winning indicators.
william-peter-hamilton,2,威廉・彼得・漢密爾頓,William Peter Hamilton,United States,1867-1929,道氏理論實踐者、作家,foundation,理論奠基者,Foundational theorist,21,道氏理論（主要詮釋者）；趨勢跟隨（趨勢判讀）,Dow Theory (principal interpreter); Trend Following (trend interpretation),技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨,"core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following",《股票市場晴雨表》（1922）；參考來源：https://archive.org/details/stockmarketbarom00hami；參考來源：https://openlibrary.org/books/OL7031671M/The_stock_market_barometer；參考來源：https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,The Stock Market Barometer (1922); Reference source: https://archive.org/details/stockmarketbarom00hami; Reference source: https://openlibrary.org/books/OL7031671M/The_stock_market_barometer; Reference source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,威廉・彼得・漢密爾頓（William Peter Hamilton）定位為理論奠基者。研究/貢獻重點集中在道氏理論（主要詮釋者）；趨勢跟隨（趨勢判讀）。代表資料包括《股票市場晴雨表》（1922）；參考來源：https://archive.org/details/stockmarketbarom00hami；參考來源：https://openlibrary.org/books/OL7031671M/The_stock_market_barometer；參考來源：https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690。可用於技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"William Peter Hamilton (威廉・彼得・漢密爾頓) is classified as a Foundational theorist. The research/contribution focus is Dow Theory (principal interpreter); Trend Following (trend interpretation). Representative materials include The Stock Market Barometer (1922); Reference source: https://archive.org/details/stockmarketbarom00hami; Reference source: https://openlibrary.org/books/OL7031671M/The_stock_market_barometer; Reference source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690. The work is useful for core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",4,3,0,1,0,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,專題權威,Specialized authority,,,0,0,1,1,優先用於：技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Best used for: core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",威廉・彼得・漢密爾頓在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,William Peter Hamilton is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
robert-rhea,3,羅伯特・里亞,Robert Rhea,United States,1887-1939,道氏理論作家、通訊作者,foundation,理論奠基者,Foundational theorist,21,道氏理論（系統化整理者）；趨勢跟隨（趨勢確認）,Dow Theory (systematizer); Trend Following (trend confirmation),技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨,"core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following",《道氏理論》（1932）；參考來源：https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ；參考來源：https://openlibrary.org/books/OL6279382M/The_Dow_theory,The Dow Theory (1932); Reference source: https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ; Reference source: https://openlibrary.org/books/OL6279382M/The_Dow_theory,羅伯特・里亞（Robert Rhea）定位為理論奠基者。研究/貢獻重點集中在道氏理論（系統化整理者）；趨勢跟隨（趨勢確認）。代表資料包括《道氏理論》（1932）；參考來源：https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ；參考來源：https://openlibrary.org/books/OL6279382M/The_Dow_theory。可用於技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Robert Rhea (羅伯特・里亞) is classified as a Foundational theorist. The research/contribution focus is Dow Theory (systematizer); Trend Following (trend confirmation). Representative materials include The Dow Theory (1932); Reference source: https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ; Reference source: https://openlibrary.org/books/OL6279382M/The_Dow_theory. The work is useful for core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",3,2,1,1,0,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,專題權威,Specialized authority,,,0,0,1,1,優先用於：技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Best used for: core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",羅伯特・里亞在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,Robert Rhea is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
richard-d-wyckoff,4,理查・威科夫,Richard D. Wyckoff,United States,1873-1934,市場操作者、教育者、作家,foundation,理論奠基者,Foundational theorist,24,威科夫方法（創始者）；成交量分析（量價分析）；讀帶 / 盤口判讀（讀帶）,Wyckoff Method (creator); Volume Analysis (price-volume analysis); Tape Reading (tape reading),量價關係、資金流與供需分析；圖表型態、價格結構與支撐阻力,"price-volume relationships, money flow, and supply/demand; chart patterns, price structure, and support/resistance",《讀帶研究》（1910）；《我如何交易與投資股票和債券》（1924）；參考來源：https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,Studies in Tape Reading (1910); How I Trade and Invest in Stocks and Bonds (1924); Reference source: https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,理查・威科夫（Richard D. Wyckoff）定位為理論奠基者。研究/貢獻重點集中在威科夫方法（創始者）；成交量分析（量價分析）；讀帶 / 盤口判讀（讀帶）。代表資料包括《讀帶研究》（1910）；《我如何交易與投資股票和債券》（1924）；參考來源：https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial。可用於量價關係、資金流與供需分析；圖表型態、價格結構與支撐阻力。,"Richard D. Wyckoff (理查・威科夫) is classified as a Foundational theorist. The research/contribution focus is Wyckoff Method (creator); Volume Analysis (price-volume analysis); Tape Reading (tape reading). Representative materials include Studies in Tape Reading (1910); How I Trade and Invest in Stocks and Bonds (1924); Reference source: https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial. The work is useful for price-volume relationships, money flow, and supply/demand; chart patterns, price structure, and support/resistance.",3,3,2,2,0,3 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 3 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.,核心權威,Core authority,成交量分析；威科夫方法,Volume Analysis; Wyckoff Method,2,2,0,1,優先用於：量價關係、資金流與供需分析；圖表型態、價格結構與支撐阻力。,"Best used for: price-volume relationships, money flow, and supply/demand; chart patterns, price structure, and support/resistance.",理查・威科夫在完整資料庫中屬於核心權威，可從其代表材料與優勝指標交叉研究。,Richard D. Wyckoff is a Core authority in the complete database; study the representative materials together with the winning indicators.
jesse-livermore,5,傑西・李佛摩,Jesse Livermore,United States,1877-1940,股票與商品交易者,practitioner,實戰交易代表,Market practitioner,19,讀帶 / 盤口判讀（代表性實踐者）；價格行為（價格行為）；趨勢跟隨（趨勢交易）,Tape Reading (representative practitioner); Price Action (price action); Trend Following (trend trading),圖表型態、價格結構與支撐阻力；趨勢辨識、均線、通道與趨勢跟隨,"chart patterns, price structure, and support/resistance; trend identification, moving averages, channels, and trend following",《如何交易股票》（1940）；參考來源：https://en.wikipedia.org/wiki/Jesse_Livermore,How to Trade in Stocks (1940); Reference source: https://en.wikipedia.org/wiki/Jesse_Livermore,傑西・李佛摩（Jesse Livermore）定位為實戰交易代表。研究/貢獻重點集中在讀帶 / 盤口判讀（代表性實踐者）；價格行為（價格行為）；趨勢跟隨（趨勢交易）。代表資料包括《如何交易股票》（1940）；參考來源：https://en.wikipedia.org/wiki/Jesse_Livermore。可用於圖表型態、價格結構與支撐阻力；趨勢辨識、均線、通道與趨勢跟隨。,"Jesse Livermore (傑西・李佛摩) is classified as a Market practitioner. The research/contribution focus is Tape Reading (representative practitioner); Price Action (price action); Trend Following (trend trading). Representative materials include How to Trade in Stocks (1940); Reference source: https://en.wikipedia.org/wiki/Jesse_Livermore. The work is useful for chart patterns, price structure, and support/resistance; trend identification, moving averages, channels, and trend following.",2,2,1,1,0,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,專題權威,Specialized authority,讀帶 / 盤口判讀,Tape Reading,1,1,0,0,優先用於：圖表型態、價格結構與支撐阻力；趨勢辨識、均線、通道與趨勢跟隨。,"Best used for: chart patterns, price structure, and support/resistance; trend identification, moving averages, channels, and trend following.",傑西・李佛摩在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,Jesse Livermore is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
w-d-gann,6,威廉・江恩,W. D. Gann,United States,1878-1955,交易者、作家,foundation,理論奠基者,Foundational theorist,22,江恩理論（創始者）；週期分析（週期分析）；支撐阻力（角度/價位）,Gann Methods (creator); Cycle Analysis (cycle analysis); Support and Resistance (angles/price levels),週期、時間窗口與市場節奏判讀；圖表型態、價格結構與支撐阻力,"cycles, timing windows, and market rhythm; chart patterns, price structure, and support/resistance",《股市讀帶真相》（1923）；《華爾街四十五年》（1941）；參考來源：https://en.wikipedia.org/wiki/William_Delbert_Gann,Truth of the Stock Tape (1923); 45 Years in Wall Street (1941); Reference source: https://en.wikipedia.org/wiki/William_Delbert_Gann,威廉・江恩（W. D. Gann）定位為理論奠基者。研究/貢獻重點集中在江恩理論（創始者）；週期分析（週期分析）；支撐阻力（角度/價位）。代表資料包括《股市讀帶真相》（1923）；《華爾街四十五年》（1941）；參考來源：https://en.wikipedia.org/wiki/William_Delbert_Gann。可用於週期、時間窗口與市場節奏判讀；圖表型態、價格結構與支撐阻力。,"W. D. Gann (威廉・江恩) is classified as a Foundational theorist. The research/contribution focus is Gann Methods (creator); Cycle Analysis (cycle analysis); Support and Resistance (angles/price levels). Representative materials include Truth of the Stock Tape (1923); 45 Years in Wall Street (1941); Reference source: https://en.wikipedia.org/wiki/William_Delbert_Gann. The work is useful for cycles, timing windows, and market rhythm; chart patterns, price structure, and support/resistance.",3,3,2,2,0,3 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 3 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.,重要權威,Major authority,江恩理論,Gann Methods,1,1,0,2,優先用於：週期、時間窗口與市場節奏判讀；圖表型態、價格結構與支撐阻力。,"Best used for: cycles, timing windows, and market rhythm; chart patterns, price structure, and support/resistance.",威廉・江恩在完整資料庫中屬於重要權威，可從其代表材料與優勝指標交叉研究。,W. D. Gann is a Major authority in the complete database; study the representative materials together with the winning indicators.
ralph-nelson-elliott,7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,United States,1871-1948,會計師、波浪理論創始者,foundation,理論奠基者,Foundational theorist,22,艾略特波浪（創始者）；週期分析（市場循環）,Elliott Wave (creator); Cycle Analysis (market cycles),波浪、分形結構與時間價格路徑；週期、時間窗口與市場節奏判讀,"waves, fractal structure, and time-price paths; cycles, timing windows, and market rhythm",《波浪原理》（1938）；參考來源：https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott；參考來源：https://www.investopedia.com/terms/e/elliottwavetheory.asp,The Wave Principle (1938); Reference source: https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott; Reference source: https://www.investopedia.com/terms/e/elliottwavetheory.asp,拉爾夫・尼爾森・艾略特（Ralph Nelson Elliott）定位為理論奠基者。研究/貢獻重點集中在艾略特波浪（創始者）；週期分析（市場循環）。代表資料包括《波浪原理》（1938）；參考來源：https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott；參考來源：https://www.investopedia.com/terms/e/elliottwavetheory.asp。可用於波浪、分形結構與時間價格路徑；週期、時間窗口與市場節奏判讀。,"Ralph Nelson Elliott (拉爾夫・尼爾森・艾略特) is classified as a Foundational theorist. The research/contribution focus is Elliott Wave (creator); Cycle Analysis (market cycles). Representative materials include The Wave Principle (1938); Reference source: https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott; Reference source: https://www.investopedia.com/terms/e/elliottwavetheory.asp. The work is useful for waves, fractal structure, and time-price paths; cycles, timing windows, and market rhythm.",3,2,0,1,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,重要權威,Major authority,艾略特波浪,Elliott Wave,1,1,0,0,優先用於：波浪、分形結構與時間價格路徑；週期、時間窗口與市場節奏判讀。,"Best used for: waves, fractal structure, and time-price paths; cycles, timing windows, and market rhythm.",拉爾夫・尼爾森・艾略特在完整資料庫中屬於重要權威，可從其代表材料與優勝指標交叉研究。,Ralph Nelson Elliott is a Major authority in the complete database; study the representative materials together with the winning indicators.
richard-w-schabacker,8,理查・沙巴克,Richard W. Schabacker,United States,1899-1935,金融編輯、技術分析作家,author,經典著作作者,Classic author,21,圖表型態（早期系統化作者）；支撐阻力（型態與趨勢線）,Chart Patterns (early systematizing author); Support and Resistance (patterns and trendlines),圖表型態、價格結構與支撐阻力,"chart patterns, price structure, and support/resistance",《技術分析與股市獲利》（1932）；參考來源：https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns；參考來源：https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,Technical Analysis and Stock Market Profits (1932); Reference source: https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns; Reference source: https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,理查・沙巴克（Richard W. Schabacker）定位為經典著作作者。研究/貢獻重點集中在圖表型態（早期系統化作者）；支撐阻力（型態與趨勢線）。代表資料包括《技術分析與股市獲利》（1932）；參考來源：https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns；參考來源：https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164。可用於圖表型態、價格結構與支撐阻力。,"Richard W. Schabacker (理查・沙巴克) is classified as a Classic author. The research/contribution focus is Chart Patterns (early systematizing author); Support and Resistance (patterns and trendlines). Representative materials include Technical Analysis and Stock Market Profits (1932); Reference source: https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns; Reference source: https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164. The work is useful for chart patterns, price structure, and support/resistance.",3,2,0,1,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,專題權威,Specialized authority,,,0,0,0,1,優先用於：圖表型態、價格結構與支撐阻力。,"Best used for: chart patterns, price structure, and support/resistance.",理查・沙巴克在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,Richard W. Schabacker is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
robert-d-edwards,9,羅伯特・愛德華茲,Robert D. Edwards,United States,1893-1964,技術分析作家,author,經典著作作者,Classic author,22,圖表型態（經典教材作者）；支撐阻力（型態分析）,Chart Patterns (classic textbook author); Support and Resistance (pattern analysis),圖表型態、價格結構與支撐阻力,"chart patterns, price structure, and support/resistance",《股票趨勢技術分析》（1948）；參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；參考來源：https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,羅伯特・愛德華茲（Robert D. Edwards）定位為經典著作作者。研究/貢獻重點集中在圖表型態（經典教材作者）；支撐阻力（型態分析）。代表資料包括《股票趨勢技術分析》（1948）；參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；參考來源：https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp。可用於圖表型態、價格結構與支撐阻力。,"Robert D. Edwards (羅伯特・愛德華茲) is classified as a Classic author. The research/contribution focus is Chart Patterns (classic textbook author); Support and Resistance (pattern analysis). Representative materials include Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp. The work is useful for chart patterns, price structure, and support/resistance.",3,2,1,1,0,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,重要權威,Major authority,支撐阻力,Support and Resistance,1,1,0,1,優先用於：圖表型態、價格結構與支撐阻力。,"Best used for: chart patterns, price structure, and support/resistance.",羅伯特・愛德華茲在完整資料庫中屬於重要權威，可從其代表材料與優勝指標交叉研究。,Robert D. Edwards is a Major authority in the complete database; study the representative materials together with the winning indicators.
john-magee,10,約翰・麥基,John Magee,United States,1901-1987,技術分析作家,author,經典著作作者,Classic author,22,圖表型態（經典教材作者）；支撐阻力（型態分析）,Chart Patterns (classic textbook author); Support and Resistance (pattern analysis),圖表型態、價格結構與支撐阻力,"chart patterns, price structure, and support/resistance",《股票趨勢技術分析》（1948）；參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,約翰・麥基（John Magee）定位為經典著作作者。研究/貢獻重點集中在圖表型態（經典教材作者）；支撐阻力（型態分析）。代表資料包括《股票趨勢技術分析》（1948）；參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp。可用於圖表型態、價格結構與支撐阻力。,"John Magee (約翰・麥基) is classified as a Classic author. The research/contribution focus is Chart Patterns (classic textbook author); Support and Resistance (pattern analysis). Representative materials include Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp. The work is useful for chart patterns, price structure, and support/resistance.",3,2,1,1,0,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,重要權威,Major authority,支撐阻力,Support and Resistance,1,1,0,1,優先用於：圖表型態、價格結構與支撐阻力。,"Best used for: chart patterns, price structure, and support/resistance.",約翰・麥基在完整資料庫中屬於重要權威，可從其代表材料與優勝指標交叉研究。,John Magee is a Major authority in the complete database; study the representative materials together with the winning indicators.
