concept_slug,concept_zh,concept_en,concept_family,expert_count_for_concept,comparison_rank,verdict_zh,verdict_en,expert_id,expert_rank_global,name_zh,name_en,relation_zh,relation_en,category,category_zh,category_en,comparison_score,expert_total_score,material_count,source_count,high_evidence_count,book_count,paper_article_count,strengths_zh,strengths_en,limitations_zh,limitations_en,difference_zh,difference_en,representative_materials_zh,representative_materials_en,evidence_profile_zh,evidence_profile_en
acd-method,ACD 開盤區間法,ACD Method,breakout,1,1,優勝,Winner,mark-b-fisher,82,馬克・費雪,Mark B. Fisher,創始者,creator,practitioner_author,實戰交易者兼作者,Practitioner-author,94.55,21,3,3,1,1,0,最接近原始定義，適合作為該指標/方法的基準版本；有代表性書籍或教材可追溯；高證據等級來源較多；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; supported by traceable books or textbook material; has multiple high-evidence sources; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,馬克・費雪的角色是「創始者」，重點在突破、波動擴張與開盤區間交易；圖表型態、價格結構與支撐阻力。,"Mark B. Fisher is classified here as creator; the focus is breakouts, volatility expansion, and opening-range trading; chart patterns, price structure, and support/resistance.",《邏輯交易者》（2002）；參考來源：https://www.investopedia.com/articles/technical/04/032404.asp；參考來源：https://www.investopedia.com/articles/technical/04/040704.asp,The Logical Trader (2002); Reference source: https://www.investopedia.com/articles/technical/04/032404.asp; Reference source: https://www.investopedia.com/articles/technical/04/040704.asp,3 筆研究材料；3 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 3 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
adaptive-moving-average,自適應均線,Adaptive Moving Average,trend,1,1,優勝,Winner,perry-j-kaufman,18,佩里・考夫曼,Perry J. Kaufman,創始者,creator,system_developer,交易系統開發者,Trading-system developer,98.75,23,3,3,2,2,0,最接近原始定義，適合作為該指標/方法的基準版本；有代表性書籍或教材可追溯；高證據等級來源較多；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; supported by traceable books or textbook material; has multiple high-evidence sources; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,佩里・考夫曼的角色是「創始者」，重點在趨勢辨識、均線、通道與趨勢跟隨；系統交易、規則設計與回測流程。,"Perry J. Kaufman is classified here as creator; the focus is trend identification, moving averages, channels, and trend following; systematic trading, rule design, and backtesting.",《交易系統與方法》（1978）；《更聰明的交易》（1995）；參考來源：https://trendspider.com/learning-center/what-is-the-kaufman-adaptive-moving-average/,Trading Systems and Methods (1978); Smarter Trading (1995); Reference source: https://trendspider.com/learning-center/what-is-the-kaufman-adaptive-moving-average/,3 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 3 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.
adx-dmi,ADX / DMI,Average Directional Index / Directional Movement,trend,1,1,優勝,Winner,j-welles-wilder-jr,19,威爾斯・威爾德,J. Welles Wilder Jr.,創始者,creator,indicator_creator,技術指標創作者,Indicator creator,106.55,25,3,2,1,1,0,最接近原始定義，適合作為該指標/方法的基準版本；有代表性書籍或教材可追溯；高證據等級來源較多；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; supported by traceable books or textbook material; has multiple high-evidence sources; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,威爾斯・威爾德的角色是「創始者」，重點在動量、超買超賣、背離與趨勢強弱；趨勢辨識、均線、通道與趨勢跟隨；波動率、通道寬度與風險環境。,"J. Welles Wilder Jr. is classified here as creator; the focus is momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following; volatility, channel width, and risk regimes.",《技術交易系統新概念》（1978）；參考來源：https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ；參考來源：https://www.investopedia.com/terms/r/rsi.asp,New Concepts in Technical Trading Systems (1978); Reference source: https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ; Reference source: https://www.investopedia.com/terms/r/rsi.asp,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
andrew-pitchfork,安德魯分叉線,Andrews' Pitchfork,support_resistance,1,1,優勝,Winner,alan-andrews,88,艾倫・安德魯斯,Alan Andrews,創始者,creator,indicator_creator,技術指標創作者,Indicator creator,99.15,19,3,2,0,0,0,最接近原始定義，適合作為該指標/方法的基準版本；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,艾倫・安德魯斯的角色是「創始者」，重點在價格水平、通道、費波納契與支撐阻力；圖表型態、價格結構與支撐阻力。,"Alan Andrews is classified here as creator; the focus is price levels, channels, Fibonacci work, and support/resistance; chart patterns, price structure, and support/resistance.",原文題名：Andrews' Pitchfork；參考來源：https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp；參考來源：https://www.optuma.com/blog/pitchforks-part-1,Andrews' Pitchfork; Reference source: https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp; Reference source: https://www.optuma.com/blog/pitchforks-part-1,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.
aroon,Aroon 指標,Aroon,trend,1,1,優勝,Winner,tushar-s-chande,24,圖沙・昌德,Tushar S. Chande,創始者,creator,indicator_creator,技術指標創作者,Indicator creator,107.2,24,4,3,0,1,0,最接近原始定義，適合作為該指標/方法的基準版本；有代表性書籍或教材可追溯；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; supported by traceable books or textbook material; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,圖沙・昌德的角色是「創始者」，重點在趨勢辨識、均線、通道與趨勢跟隨；動量、超買超賣、背離與趨勢強弱。,"Tushar S. Chande is classified here as creator; the focus is trend identification, moving averages, channels, and trend following; momentum, overbought/oversold conditions, divergence, and trend strength.",《新技術交易者》（1994）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmo；參考來源：https://www.investopedia.com/terms/s/stochrsi.asp,The New Technical Trader (1994); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmo; Reference source: https://www.investopedia.com/terms/s/stochrsi.asp,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.
atr,ATR 平均真實波幅,Average True Range,volatility,2,1,優勝,Winner,j-welles-wilder-jr,19,威爾斯・威爾德,J. Welles Wilder Jr.,創始者,creator,indicator_creator,技術指標創作者,Indicator creator,118.55,25,3,2,1,1,0,最接近原始定義，適合作為該指標/方法的基準版本；有代表性書籍或教材可追溯；高證據等級來源較多；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; supported by traceable books or textbook material; has multiple high-evidence sources; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,威爾斯・威爾德的角色是「創始者」，重點在動量、超買超賣、背離與趨勢強弱；趨勢辨識、均線、通道與趨勢跟隨；波動率、通道寬度與風險環境。,"J. Welles Wilder Jr. is classified here as creator; the focus is momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following; volatility, channel width, and risk regimes.",《技術交易系統新概念》（1978）；參考來源：https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ；參考來源：https://www.investopedia.com/terms/r/rsi.asp,New Concepts in Technical Trading Systems (1978); Reference source: https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ; Reference source: https://www.investopedia.com/terms/r/rsi.asp,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
atr,ATR 平均真實波幅,Average True Range,volatility,2,2,重要補充,Important complement,olivier-seban,73,奧利維耶・塞班,Olivier Seban,ATR 通道應用,ATR channel application,indicator_creator,技術指標創作者,Indicator creator,69.15,19,3,2,0,0,0,可作為該指標/方法的輔助觀點,useful as a complementary view on the indicator/method,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,奧利維耶・塞班的角色是「ATR 通道應用」，重點在趨勢辨識、均線、通道與趨勢跟隨；波動率、通道寬度與風險環境。,"Olivier Seban is classified here as ATR channel application; the focus is trend identification, moving averages, channels, and trend following; volatility, channel width, and risk regimes.",原文題名：SuperTrend（2009）；參考來源：https://www.investopedia.com/supertrend-indicator-7976167；參考來源：https://www.tradingview.com/support/solutions/43000634738-supertrend/,SuperTrend (2009); Reference source: https://www.investopedia.com/supertrend-indicator-7976167; Reference source: https://www.tradingview.com/support/solutions/43000634738-supertrend/,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.
backtesting,回測與系統驗證,Backtesting,research,9,1,優勝,Winner,david-aronson,100,大衛・阿隆森,David Aronson,資料探勘校正,data-mining adjustment,academic_practitioner,學術與實務研究者,Academic-practitioner,79.25,21,3,2,0,1,0,有代表性書籍或教材可追溯；在原創性、資料覆蓋與專屬性綜合評分最高,"supported by traceable books or textbook material; highest combined score for originality, evidence coverage, and indicator specificity",適合搭配優勝者資料交叉驗證；優勝判斷是以本資料庫目前來源與評分規則為基準,best used for cross-checking against the winning authority; winner judgment is based on the current database sources and scoring rules,大衛・阿隆森的角色是「資料探勘校正」，重點在實證檢驗、規則驗證與資料探勘風險控制；系統交易、規則設計與回測流程。,"David Aronson is classified here as data-mining adjustment; the focus is empirical testing, rule validation, and data-mining control; systematic trading, rule design, and backtesting.",《實證技術分析》（2006）；參考來源：https://www.amazon.com/Evidence-Based-Technical-Analysis-Scientific-Statistical/dp/0470008741；參考來源：https://www.wiley.com/en-ca/Evidence-Based%2BTechnical%2BAnalysis%3A%2BApplying%2Bthe%2BScientific%2BMethod%2Band%2BStatistical%2BInference%2Bto%2BTrading%2BSignals-p-9780470008744,Evidence-Based Technical Analysis (2006); Reference source: https://www.amazon.com/Evidence-Based-Technical-Analysis-Scientific-Statistical/dp/0470008741; Reference source: https://www.wiley.com/en-ca/Evidence-Based%2BTechnical%2BAnalysis%3A%2BApplying%2Bthe%2BScientific%2BMethod%2Band%2BStatistical%2BInference%2Bto%2BTrading%2BSignals-p-9780470008744,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.
backtesting,回測與系統驗證,Backtesting,research,9,2,重要補充,Important complement,julie-r-dahlquist,15,茱莉・達爾奎斯特,Julie R. Dahlquist,缺口策略研究,gap-strategy research,author_researcher,著作與研究兼具,Author-researcher,73.6,22,3,2,3,1,1,有代表性書籍或教材可追溯；有論文或研究文章支撐；高證據等級來源較多,supported by traceable books or textbook material; supported by papers or research articles; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,茱莉・達爾奎斯特的角色是「缺口策略研究」，重點在圖表型態、價格結構與支撐阻力；實證檢驗、規則驗證與資料探勘風險控制。,"Julie R. Dahlquist is classified here as gap-strategy research; the focus is chart patterns, price structure, and support/resistance; empirical testing, rule validation, and data-mining control.",《技術分析：金融市場技術分析師完整資源》（2006）；原文題名：Analyzing Gaps for Profitable Trading Strategies（2011）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,Technical Analysis: The Complete Resource for Financial Market Technicians (2006); Analyzing Gaps for Profitable Trading Strategies (2011); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,3 筆研究材料；2 個不同來源；3 筆高證據等級；書籍 1 筆；論文/文章 1 筆。,3 research materials; 2 distinct sources; 3 high-evidence records; 1 book records; 1 paper/article records.
backtesting,回測與系統驗證,Backtesting,research,9,3,重要補充,Important complement,thomas-n-bulkowski,39,湯瑪斯・布考斯基,Thomas N. Bulkowski,歷史樣本統計,historical sample statistics,author_researcher,著作與研究兼具,Author-researcher,72.45,23,3,2,1,1,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,湯瑪斯・布考斯基的角色是「歷史樣本統計」，重點在圖表型態、價格結構與支撐阻力；實證檢驗、規則驗證與資料探勘風險控制。,"Thomas N. Bulkowski is classified here as historical sample statistics; the focus is chart patterns, price structure, and support/resistance; empirical testing, rule validation, and data-mining control.",《圖表型態百科全書》（2000）；參考來源：https://thepatternsite.com/；參考來源：https://www.amazon.com/Encyclopedia-Chart-Patterns-Thomas-Bulkowski/dp/0471668265,Encyclopedia of Chart Patterns (2000); Reference source: https://thepatternsite.com/; Reference source: https://www.amazon.com/Encyclopedia-Chart-Patterns-Thomas-Bulkowski/dp/0471668265,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
