lead_id,title,source_url,apparent_type,visibility_hint,metric_signal,preliminary_status,source_checked_at,notes
TVL-0001,LuxAlgo Backtester (S&O),https://www.tradingview.com/script/GBuVlkxf-LuxAlgo-Backtester-S-O/,backtest_tool,unknown,mentions profit factor optimization,reject_candidate,2026-07-03,"Tool/backtester, not one strategy case."
TVL-0002,Backtest Pro - The TradingView Backtesting Engine,https://www.tradingview.com/script/51FVkzCB-Backtest-Pro-The-TradingView-Backtesting-Engine/,backtest_tool,unknown,PF field explanation,reject_candidate,2026-07-03,"Engine, not standalone strategy case."
TVL-0003,SuperATR 7-Step Profit Strategy,https://www.tradingview.com/script/FDYGrZVD-SuperATR-7-Step-Profit-Strategy-presentTrading/,strategy,open_or_public,very high PF claim; parameters mentioned,support_only,2026-07-03,"Needs manual Strategy Report, symbol/timeframe/date/trades/costs verification."
TVL-0004,Precision Confluence Trading Strategy [JOAT],https://www.tradingview.com/script/Eexf5DPB-Precision-Confluence-Trading-Strategy-JOAT/,strategy,open_or_public,"PF threshold guidance, sample-size guidance",raw_lead,2026-07-03,Needs concrete result row before inclusion.
TVL-0005,PO3 x ICT Sweep STRATEGY V2,https://www.tradingview.com/script/ijnCoxOR/,strategy,invite_only,PF 1.83; multiple presets,metadata_only,2026-07-03,Invite-only; cannot be accepted as reproducible source case.
TVL-0006,Best Strategy on TradingView? Maybe,https://www.tradingview.com/script/YFeZMh6N-Best-Strategy-on-TradingView-Maybe/,strategy,open_or_public,mentions profit factor concept,raw_lead,2026-07-03,Needs concrete PF/period/settings.
TVL-0007,MT Strategy Backtest Template,https://www.tradingview.com/script/F4cmQIQW-MT-Strategy-Backtest-Template/,template,open_or_public,displays PF and trade stats,reject_candidate,2026-07-03,"Template/backtest display, not a strategy case."
TVL-0008,NQ/MNQ Super Scalper BACKTEST,https://www.tradingview.com/script/6ve1ax1D-NQ-MNQ-Super-Scalper-BACKTEST/,strategy,open_or_public,PF 1.23; 2934 trades; costs stated,support_only,2026-07-03,Already in site bundle as support-only.
TVL-0009,AlgoBuilder Trend-Following,https://www.tradingview.com/script/J1pJD2m0-AlgoBuilder-Trend-Following-Fractalyst/,strategy_builder,unknown,"PF explanation, max drawdown explanation",reject_candidate,2026-07-03,Builder/tool; needs concrete strategy result.
TVL-0010,Reversal TSLA TF5 PF 1.85,https://www.tradingview.com/script/WmyzSUpd/,strategy,protected,PF 1.85 title; 10-year claim,metadata_only,2026-07-03,Protected; source unavailable.
TVL-0011,TWT Grid Strategy [3Commas],https://es.tradingview.com/script/NjylXb5x-TWT-Grid-Strategy-3Commas/,strategy,open_or_public,PF 0.971; 1227 trades; drawdown stated,raw_lead,2026-07-03,Low PF; likely reject or failure lesson.
TVL-0012,Eclipse Ceres Strategy,https://www.tradingview.com/script/WvlRaQzu-Eclipse-Ceres-Strategy/,strategy,unknown,mentions native backtester and profit factor,raw_lead,2026-07-03,Needs exact metrics and source status.
TVL-0013,LWTG MITS,https://www.tradingview.com/script/fPo1FO4V-LWTG-MITS/,strategy,unknown,multi-instrument futures strategy,raw_lead,2026-07-03,Needs PF/period/settings.
TVL-0014,Liquid Pours Xtreme,https://es.tradingview.com/script/4reOaS1g/,strategy,unknown,mentions backtesting and parameters,raw_lead,2026-07-03,Needs concrete metrics.
TVL-0015,Best MA Pair Finder Crossover Strategy,https://www.tradingview.com/script/Wh8fQKtV-Best-MA-Pair-Finder-Crossover-Strategy/,strategy_or_optimizer,unknown,calculates PF across MA pairs,raw_lead,2026-07-03,May be optimizer; needs status.
