score,grade,type,h1,route,textLength
"97","A","首頁","先判斷市況，再把指標變成交易劇本","#/","2766"
"100","A+","指標庫","全部技術指標","#/indicators","2329"
"95","A","工具頁","固定指標比較","#/compare","4296"
"99","A+","工具頁","交易前練習場","#/playground","2170"
"100","A+","工具頁","歷史型市況案例庫","#/casebook","4453"
"95","A","工具頁","術語表","#/glossary","2842"
"97","A","工具頁","收藏/訂閱與本地資料","#/subscribe","1327"
"100","A+","工具頁","交易日誌模板","#/journal","2267"
"97","A","工具頁","指標組合檢查器","#/combo","5548"
"98","A+","工具頁","TradingView 策略研究","#/tv-strategies","2550"
"100","A+","策略案例庫","高勝率與高 PF 交易策略案例","#/strategy-cases","2079"
"100","A+","腳本頁","把交易前檢查放到 TradingView 圖表上","#/script","1986"
"100","A+","腳本頁","同一個訊號，放在不同市況會有不同結論","#/script-demo","1338"
"100","A+","腳本頁","先試用，再決定是否放進你的圖表","#/trial","1259"
"100","A+","陰陽燭","陰陽燭先看攻防，不是背名","#/candlesticks","1710"
"100","A+","陰陽燭","陰陽燭結構：開高低收、實體與影線","#/candlesticks/anatomy","1554"
"100","A+","陰陽燭","陰陽燭形態庫：形態必須配合位置判斷","#/candlesticks/patterns","2164"
"100","A+","陰陽燭","陰陽燭情境判讀：位置、趨勢、成交量","#/candlesticks/context","1520"
"100","A+","陰陽燭","陰陽燭交易劇本：由訊號到止蝕","#/candlesticks/playbook","1474"
"100","A+","陰陽燭","陰陽燭錯誤案例：最常見虧損用法","#/candlesticks/mistakes","1548"
"100","A+","技術指標","簡單移動平均線","#/indicators/sma","3996"
"100","A+","技術指標","指數移動平均線","#/indicators/ema","3950"
"100","A+","技術指標","加權移動平均線","#/indicators/wma","3919"
"100","A+","技術指標","赫爾移動平均線","#/indicators/hma","3778"
"100","A+","技術指標","考夫曼自適應均線","#/indicators/kama","3821"
"100","A+","技術指標","均線帶","#/indicators/ma-ribbon","3900"
"100","A+","技術指標","指數平滑異同移動平均線","#/indicators/macd","4007"
"100","A+","技術指標","相對強弱指數","#/indicators/rsi","4127"
"100","A+","技術指標","隨機指標","#/indicators/stochastic","3847"
"100","A+","技術指標","隨機 RSI","#/indicators/stochastic-rsi","3903"
"100","A+","技術指標","商品通道指數","#/indicators/cci","3842"
"100","A+","技術指標","變動率","#/indicators/roc","3920"
"100","A+","技術指標","動量指標","#/indicators/momentum","3812"
"100","A+","技術指標","威廉指標","#/indicators/williams-r","3762"
"100","A+","技術指標","三重指數平滑平均","#/indicators/trix","3966"
"100","A+","技術指標","終極震盪指標","#/indicators/ultimate-oscillator","3897"
"100","A+","技術指標","真實強弱指數","#/indicators/tsi","3939"
"100","A+","技術指標","動量震盪器","#/indicators/awesome-oscillator","3896"
"100","A+","技術指標","平均趨向指數","#/indicators/adx","3944"
"100","A+","技術指標","阿隆指標","#/indicators/aroon","3771"
"100","A+","技術指標","超級趨勢線","#/indicators/supertrend","3961"
"100","A+","技術指標","拋物線轉向指標","#/indicators/psar","3826"
"100","A+","技術指標","一目均衡表","#/indicators/ichimoku","3877"
"100","A+","技術指標","趨向指標","#/indicators/dmi","3819"
"100","A+","技術指標","布林帶","#/indicators/bollinger-bands","3865"
"100","A+","技術指標","肯特納通道","#/indicators/keltner-channel","3837"
"100","A+","技術指標","唐奇安通道","#/indicators/donchian-channel","3768"
"100","A+","技術指標","平均真實波幅","#/indicators/atr","3903"
"100","A+","技術指標","標準差","#/indicators/standard-deviation","3802"
"100","A+","技術指標","波動止蝕","#/indicators/volatility-stop","3905"
"100","A+","技術指標","能量潮","#/indicators/obv","3853"
"100","A+","技術指標","成交量","#/indicators/volume","3935"
"100","A+","技術指標","成交量均線","#/indicators/volume-ma","3851"
"100","A+","技術指標","成交量加權平均價","#/indicators/vwap","3919"
"100","A+","技術指標","資金流量指標","#/indicators/mfi","3812"
"100","A+","技術指標","蔡金資金流量","#/indicators/chaikin-money-flow","3792"
"100","A+","技術指標","累積派發線","#/indicators/accumulation-distribution","3780"
"100","A+","技術指標","強力指數","#/indicators/force-index","3789"
"100","A+","技術指標","簡易波動指標","#/indicators/ease-of-movement","3888"
"100","A+","技術指標","樞軸點","#/indicators/pivot-points","3917"
"100","A+","技術指標","斐波那契回調","#/indicators/fibonacci-retracement","3820"
"100","A+","技術指標","支撐與阻力","#/indicators/support-resistance","3964"
"100","A+","技術指標","價格通道","#/indicators/price-channel","3966"
"100","A+","技術指標","趨勢線","#/indicators/trendline","3831"
"100","A+","技術指標","吊燈止蝕","#/indicators/chandelier-exit","3862"
"100","A+","技術指標","艾達透視指標","#/indicators/elder-ray","3933"
"100","A+","技術指標","相對強弱比較","#/indicators/relative-strength-comparative","3800"
"100","A+","技術指標","貝塔係數","#/indicators/beta","3896"
"100","A+","技術指標","相關係數","#/indicators/correlation","3889"
"100","A+","技術指標","漲跌家數線","#/indicators/advance-decline-line","3817"
"100","A+","技術指標","新高新低數","#/indicators/new-high-new-low","3822"
"100","A+","技術指標","看漲百分比指數","#/indicators/bullish-percent-index","3797"
"100","A+","技術指標","科波克曲線","#/indicators/coppock-curve","3844"
"100","A+","技術指標","Zig Zag 指標","#/indicators/zig-zag","3987"
"100","A+","技術指標","平均 K 線","#/indicators/heikin-ashi","3810"
"100","A+","技術指標","磚形圖","#/indicators/renko","3823"
"100","A+","技術指標","成交量分佈","#/indicators/volume-profile","3808"
"100","A+","技術指標","KDJ 指標","#/indicators/kdj","3906"
