concept_slug,concept_zh,concept_en,family,family_zh,family_en,expert_count,winner_zh,winner_en,runner_up_zh,runner_up_en,judgment_zh,judgment_en,all_experts_zh,all_experts_en,top_materials_zh,top_materials_en,material_count,integrated_use_zh,integrated_use_en
acd-method,ACD 開盤區間法,ACD Method,breakout,突破交易,Breakout,1,馬克・費雪,Mark B. Fisher,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,馬克・費雪是目前資料庫中唯一對應「ACD 開盤區間法」的核心專家。,Mark B. Fisher is the only expert currently mapped to ACD Method in this database.,馬克・費雪（創始者）,Mark B. Fisher (creator),《邏輯交易者》 - 馬克・費雪,The Logical Trader - Mark B. Fisher,1,ACD 開盤區間法屬於突破交易，優先研究馬克・費雪，再用其他專家資料交叉驗證。,ACD Method belongs to Breakout; start with Mark B. Fisher and use other experts for cross-checking.
adaptive-moving-average,自適應均線,Adaptive Moving Average,trend,趨勢分析,Trend Analysis,1,佩里・考夫曼,Perry J. Kaufman,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,佩里・考夫曼是目前資料庫中唯一對應「自適應均線」的核心專家。,Perry J. Kaufman is the only expert currently mapped to Adaptive Moving Average in this database.,佩里・考夫曼（創始者）,Perry J. Kaufman (creator),《交易系統與方法》 - 佩里・考夫曼；《更聰明的交易》 - 佩里・考夫曼,Trading Systems and Methods - Perry J. Kaufman; Smarter Trading - Perry J. Kaufman,2,自適應均線屬於趨勢分析，優先研究佩里・考夫曼，再用其他專家資料交叉驗證。,Adaptive Moving Average belongs to Trend Analysis; start with Perry J. Kaufman and use other experts for cross-checking.
adx-dmi,ADX / DMI,Average Directional Index / Directional Movement,trend,趨勢分析,Trend Analysis,1,威爾斯・威爾德,J. Welles Wilder Jr.,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,威爾斯・威爾德是目前資料庫中唯一對應「ADX / DMI」的核心專家。,J. Welles Wilder Jr. is the only expert currently mapped to Average Directional Index / Directional Movement in this database.,威爾斯・威爾德（創始者）,J. Welles Wilder Jr. (creator),《技術交易系統新概念》 - 威爾斯・威爾德,New Concepts in Technical Trading Systems - J. Welles Wilder Jr.,1,ADX / DMI屬於趨勢分析，優先研究威爾斯・威爾德，再用其他專家資料交叉驗證。,Average Directional Index / Directional Movement belongs to Trend Analysis; start with J. Welles Wilder Jr. and use other experts for cross-checking.
andrew-pitchfork,安德魯分叉線,Andrews' Pitchfork,support_resistance,支撐阻力,Support and Resistance,1,艾倫・安德魯斯,Alan Andrews,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,艾倫・安德魯斯是目前資料庫中唯一對應「安德魯分叉線」的核心專家。,Alan Andrews is the only expert currently mapped to Andrews' Pitchfork in this database.,艾倫・安德魯斯（創始者）,Alan Andrews (creator),原文題名：Andrews' Pitchfork - 艾倫・安德魯斯,Andrews' Pitchfork - Alan Andrews,1,安德魯分叉線屬於支撐阻力，優先研究艾倫・安德魯斯，再用其他專家資料交叉驗證。,Andrews' Pitchfork belongs to Support and Resistance; start with Alan Andrews and use other experts for cross-checking.
aroon,Aroon 指標,Aroon,trend,趨勢分析,Trend Analysis,1,圖沙・昌德,Tushar S. Chande,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,圖沙・昌德是目前資料庫中唯一對應「Aroon 指標」的核心專家。,Tushar S. Chande is the only expert currently mapped to Aroon in this database.,圖沙・昌德（創始者）,Tushar S. Chande (creator),《新技術交易者》 - 圖沙・昌德,The New Technical Trader - Tushar S. Chande,1,Aroon 指標屬於趨勢分析，優先研究圖沙・昌德，再用其他專家資料交叉驗證。,Aroon belongs to Trend Analysis; start with Tushar S. Chande and use other experts for cross-checking.
atr,ATR 平均真實波幅,Average True Range,volatility,波動率,Volatility,2,威爾斯・威爾德,J. Welles Wilder Jr.,奧利維耶・塞班,Olivier Seban,威爾斯・威爾德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為奧利維耶・塞班。,"J. Welles Wilder Jr. wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Olivier Seban.",威爾斯・威爾德（創始者）；奧利維耶・塞班（ATR 通道應用）,J. Welles Wilder Jr. (creator); Olivier Seban (ATR channel application),《技術交易系統新概念》 - 威爾斯・威爾德；原文題名：SuperTrend - 奧利維耶・塞班,New Concepts in Technical Trading Systems - J. Welles Wilder Jr.; SuperTrend - Olivier Seban,2,ATR 平均真實波幅屬於波動率，優先研究威爾斯・威爾德，再用其他專家資料交叉驗證。,Average True Range belongs to Volatility; start with J. Welles Wilder Jr. and use other experts for cross-checking.
backtesting,回測與系統驗證,Backtesting,research,實證研究與回測,Research and Backtesting,9,大衛・阿隆森,David Aronson,茱莉・達爾奎斯特、湯瑪斯・布考斯基,Julie R. Dahlquist / Thomas N. Bulkowski,大衛・阿隆森優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為茱莉・達爾奎斯特、湯瑪斯・布考斯基。,"David Aronson wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Julie R. Dahlquist / Thomas N. Bulkowski.",大衛・阿隆森（資料探勘校正）；茱莉・達爾奎斯特（缺口策略研究）；湯瑪斯・布考斯基（歷史樣本統計）；安德魯・羅（統計推論）；亞瑟・梅里爾（型態統計）；霍華德・班迪（策略驗證）；穆雷・魯傑羅（策略測試）；羅伯特・帕多（系統測試）；湯瑪斯・史翠茲曼（策略測試）,David Aronson (data-mining adjustment); Julie R. Dahlquist (gap-strategy research); Thomas N. Bulkowski (historical sample statistics); Andrew W. Lo (statistical inference); Arthur A. Merrill (pattern statistics); Howard Bandy (strategy validation); Murray A. Ruggiero Jr. (strategy testing); Robert Pardo (system testing); Thomas Stridsman (strategy testing),《技術分析：金融市場技術分析師完整資源》 - 茱莉・達爾奎斯特；原文題名：Analyzing Gaps for Profitable Trading Strategies - 茱莉・達爾奎斯特；《圖表型態百科全書》 - 湯瑪斯・布考斯基；《控制論交易策略》 - 穆雷・魯傑羅；《交易系統設計、測試與最佳化》 - 羅伯特・帕多；《量化交易系統》 - 霍華德・班迪,"Technical Analysis: The Complete Resource for Financial Market Technicians - Julie R. Dahlquist; Analyzing Gaps for Profitable Trading Strategies - Julie R. Dahlquist; Encyclopedia of Chart Patterns - Thomas N. Bulkowski; Cybernetic Trading Strategies - Murray A. Ruggiero Jr.; Design, Testing, and Optimization of Trading Systems - Robert Pardo; Quantitative Trading Systems - Howard Bandy",13,回測與系統驗證屬於實證研究與回測，優先研究大衛・阿隆森，再用其他專家資料交叉驗證。,Backtesting belongs to Research and Backtesting; start with David Aronson and use other experts for cross-checking.
bollinger-bands,布林通道,Bollinger Bands,volatility,波動率,Volatility,2,約翰・布林格,John Bollinger,傑瑞米・杜普萊西斯,Jeremy du Plessis,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為傑瑞米・杜普萊西斯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Jeremy du Plessis.",約翰・布林格（創始者）；傑瑞米・杜普萊西斯（P&F 結合指標）,John Bollinger (creator); Jeremy du Plessis (P&F-integrated indicator work),《布林格談布林通道》 - 約翰・布林格；《點數圖權威指南》 - 傑瑞米・杜普萊西斯；《二十一世紀點數圖》 - 傑瑞米・杜普萊西斯,Bollinger on Bollinger Bands - John Bollinger; The Definitive Guide to Point and Figure - Jeremy du Plessis; 21st Century Point and Figure - Jeremy du Plessis,3,布林通道屬於波動率，優先研究約翰・布林格，再用其他專家資料交叉驗證。,Bollinger Bands belongs to Volatility; start with John Bollinger and use other experts for cross-checking.
breadth,市場寬度,Market Breadth,breadth,市場寬度,Market Breadth,14,內德・戴維斯,Ned Davis,拉瑞・威廉斯、拉爾夫・文斯,Larry Williams / Ralph Vince,內德・戴維斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉瑞・威廉斯、拉爾夫・文斯。,"Ned Davis wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Larry Williams / Ralph Vince.",內德・戴維斯（市場指標）；拉瑞・威廉斯（Dow Award 研究）；拉爾夫・文斯（新低數研究）；謝爾曼・麥克萊倫（市場寬度）；瑪麗安・麥克萊倫（市場寬度）；理查・阿姆斯（市場寬度）；艾德森・古爾德（市場指標）；保羅・德斯蒙德（熊市底部研究）；巴夫・多米爾（成交量廣度）；安德魯・思拉舍（市場健康）；約翰・墨菲（市場分析）；華特・迪默（市場備忘錄）；傑森・戈普弗特（基金現金/市場指標）；A・W・科恩（Bullish Percent）,Ned Davis (market indicators); Larry Williams (Dow Award research); Ralph Vince (new-lows research); Sherman McClellan (market breadth); Marian McClellan (market breadth); Richard W. Arms Jr. (market breadth); Edson Gould (market indicators); Paul Desmond (bear-market bottom research); Buff Dormeier (volume breadth); Andrew Thrasher (market health); John J. Murphy (market analysis); Walter Deemer (market memos); Jason Goepfert (mutual-fund cash / market indicators); A. W. Cohen (Bullish Percent),《金融市場技術分析》 - 約翰・墨菲；《我去年如何交易商品賺進一百萬美元》 - 拉瑞・威廉斯；原文題名：The Ripple Effect of Daily New Lows - 拉瑞・威廉斯；《獲利型態》 - 謝爾曼・麥克萊倫；《獲利型態》 - 瑪麗安・麥克萊倫；原文題名：The Arms Index - 理查・阿姆斯,Technical Analysis of the Financial Markets - John J. Murphy; How I Made One Million Dollars Last Year Trading Commodities - Larry Williams; The Ripple Effect of Daily New Lows - Larry Williams; Patterns for Profit - Sherman McClellan; Patterns for Profit - Marian McClellan; The Arms Index - Richard W. Arms Jr.,20,市場寬度屬於市場寬度，優先研究內德・戴維斯，再用其他專家資料交叉驗證。,Market Breadth belongs to Market Breadth; start with Ned Davis and use other experts for cross-checking.
can-slim,CAN SLIM,CAN SLIM,stock_selection,股票選股,Stock Selection,1,威廉・歐尼爾,William J. O'Neil,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,威廉・歐尼爾是目前資料庫中唯一對應「CAN SLIM」的核心專家。,William J. O'Neil is the only expert currently mapped to CAN SLIM in this database.,威廉・歐尼爾（創始者）,William J. O'Neil (creator),《如何在股票中賺錢》 - 威廉・歐尼爾,How to Make Money in Stocks - William J. O'Neil,1,CAN SLIM屬於股票選股，優先研究威廉・歐尼爾，再用其他專家資料交叉驗證。,CAN SLIM belongs to Stock Selection; start with William J. O'Neil and use other experts for cross-checking.
