rank,name_zh,name_en,category,material_count,distinct_source_count,book_count,paper_article_count,api_enriched_count
1,查爾斯・道,Charles H. Dow,foundation,3,2,0,0,0
2,威廉・彼得・漢密爾頓,William Peter Hamilton,foundation,4,3,1,0,0
3,羅伯特・里亞,Robert Rhea,foundation,3,2,1,0,0
4,理查・威科夫,Richard D. Wyckoff,foundation,3,3,2,0,2
5,傑西・李佛摩,Jesse Livermore,practitioner,2,2,1,0,1
6,威廉・江恩,W. D. Gann,foundation,3,3,2,0,2
7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,foundation,3,2,1,0,0
8,理查・沙巴克,Richard W. Schabacker,author,3,2,1,0,0
9,羅伯特・愛德華茲,Robert D. Edwards,author,3,2,1,0,0
10,約翰・麥基,John Magee,author,3,2,1,0,0
11,約翰・墨菲,John J. Murphy,author,3,2,1,0,1
12,馬丁・普林格,Martin J. Pring,author,3,2,1,0,0
13,傑克・施瓦格,Jack D. Schwager,author,4,3,2,0,1
14,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,author_researcher,3,2,1,1,1
15,茱莉・達爾奎斯特,Julie R. Dahlquist,author_researcher,3,2,1,1,1
16,史蒂文・阿契利斯,Steven B. Achelis,author,2,2,1,0,1
17,羅伯特・科爾比,Robert W. Colby,author,4,3,1,0,0
18,佩里・考夫曼,Perry J. Kaufman,system_developer,3,3,2,0,2
19,威爾斯・威爾德,J. Welles Wilder Jr.,indicator_creator,3,2,1,0,1
20,傑拉德・阿佩爾,Gerald Appel,indicator_creator,4,3,1,0,0
21,約翰・布林格,John Bollinger,indicator_creator,3,3,1,0,1
22,喬治・藍恩,George C. Lane,indicator_creator,3,2,0,0,0
23,理查・唐奇安,Richard Donchian,indicator_creator,3,2,0,0,0
24,圖沙・昌德,Tushar S. Chande,indicator_creator,4,3,1,0,0
25,史丹利・克羅爾,Stanley Kroll,indicator_creator,3,2,1,0,0
26,唐納德・蘭伯特,Donald R. Lambert,indicator_creator,2,2,0,1,1
27,拉瑞・威廉斯,Larry Williams,indicator_creator,4,3,1,1,1
28,馬克・柴金,Marc Chaikin,indicator_creator,3,2,0,0,0
29,約瑟夫・格蘭維爾,Joseph Granville,indicator_creator,4,3,1,0,0
30,謝爾曼・麥克萊倫,Sherman McClellan,indicator_creator,3,2,1,0,0
31,瑪麗安・麥克萊倫,Marian McClellan,indicator_creator,3,2,1,0,0
32,理查・阿姆斯,Richard W. Arms Jr.,indicator_creator,3,2,0,0,0
33,艾德溫・科波克,Edwin S. Coppock,indicator_creator,4,3,0,0,0
34,湯姆・迪馬克,Tom DeMark,indicator_creator,4,2,1,0,0
35,亞歷山大・艾爾德,Alexander Elder,indicator_creator,2,2,1,0,1
36,史蒂夫・尼森,Steve Nison,author,4,3,1,0,0
37,細田悟一,Goichi Hosoda,indicator_creator,3,2,1,0,0
38,本間宗久,Munehisa Homma,foundation,4,3,0,0,0
39,湯瑪斯・布考斯基,Thomas N. Bulkowski,author_researcher,3,2,1,0,0
40,路易絲・山田,Louise Yamada,practitioner,3,2,1,0,0
41,拉爾夫・阿坎波拉,Ralph Acampora,practitioner,2,2,1,0,1
42,羅伯特・普萊切特,Robert Prechter,author,3,2,1,0,1
43,A・J・佛羅斯特,A. J. Frost,author,3,2,1,0,1
44,格倫・尼利,Glenn Neely,author,4,3,1,0,1
45,艾德森・古爾德,Edson Gould,foundation,4,3,0,0,0
46,保羅・德斯蒙德,Paul Desmond,researcher,2,2,0,1,1
47,理查・羅素,Richard Russell,practitioner,4,3,0,0,0
48,史坦・溫斯坦,Stan Weinstein,author,3,2,1,0,0
