concept_slug,concept_zh,concept_en,concept_family,expert_count,has_common_research,winner_expert_ids,winner_zh,winner_en,winner_score,runner_up_zh,runner_up_en,judgment_zh,judgment_en,basis_zh,basis_en,caveat_zh,caveat_en
acd-method,ACD 開盤區間法,ACD Method,breakout,1,no,mark-b-fisher,馬克・費雪,Mark B. Fisher,94.55,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,馬克・費雪是目前資料庫中唯一對應「ACD 開盤區間法」的核心專家。,Mark B. Fisher is the only expert currently mapped to ACD Method in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
adaptive-moving-average,自適應均線,Adaptive Moving Average,trend,1,no,perry-j-kaufman,佩里・考夫曼,Perry J. Kaufman,98.75,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,佩里・考夫曼是目前資料庫中唯一對應「自適應均線」的核心專家。,Perry J. Kaufman is the only expert currently mapped to Adaptive Moving Average in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
adx-dmi,ADX / DMI,Average Directional Index / Directional Movement,trend,1,no,j-welles-wilder-jr,威爾斯・威爾德,J. Welles Wilder Jr.,106.55,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,威爾斯・威爾德是目前資料庫中唯一對應「ADX / DMI」的核心專家。,J. Welles Wilder Jr. is the only expert currently mapped to Average Directional Index / Directional Movement in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
andrew-pitchfork,安德魯分叉線,Andrews' Pitchfork,support_resistance,1,no,alan-andrews,艾倫・安德魯斯,Alan Andrews,99.15,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,艾倫・安德魯斯是目前資料庫中唯一對應「安德魯分叉線」的核心專家。,Alan Andrews is the only expert currently mapped to Andrews' Pitchfork in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
aroon,Aroon 指標,Aroon,trend,1,no,tushar-s-chande,圖沙・昌德,Tushar S. Chande,107.2,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,圖沙・昌德是目前資料庫中唯一對應「Aroon 指標」的核心專家。,Tushar S. Chande is the only expert currently mapped to Aroon in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
atr,ATR 平均真實波幅,Average True Range,volatility,2,yes,j-welles-wilder-jr,威爾斯・威爾德,J. Welles Wilder Jr.,118.55,奧利維耶・塞班,Olivier Seban,威爾斯・威爾德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為奧利維耶・塞班。,"J. Welles Wilder Jr. wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Olivier Seban.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
backtesting,回測與系統驗證,Backtesting,research,9,yes,david-aronson,大衛・阿隆森,David Aronson,79.25,茱莉・達爾奎斯特、湯瑪斯・布考斯基,Julie R. Dahlquist / Thomas N. Bulkowski,大衛・阿隆森優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為茱莉・達爾奎斯特、湯瑪斯・布考斯基。,"David Aronson wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Julie R. Dahlquist / Thomas N. Bulkowski.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
bollinger-bands,布林通道,Bollinger Bands,volatility,2,yes,john-bollinger,約翰・布林格,John Bollinger,118.7,傑瑞米・杜普萊西斯,Jeremy du Plessis,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為傑瑞米・杜普萊西斯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Jeremy du Plessis.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
breadth,市場寬度,Market Breadth,breadth,14,yes,ned-davis,內德・戴維斯,Ned Davis,82.0,拉瑞・威廉斯、拉爾夫・文斯,Larry Williams / Ralph Vince,內德・戴維斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉瑞・威廉斯、拉爾夫・文斯。,"Ned Davis wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Larry Williams / Ralph Vince.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
can-slim,CAN SLIM,CAN SLIM,stock_selection,1,no,william-j-o-neil,威廉・歐尼爾,William J. O'Neil,95.4,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,威廉・歐尼爾是目前資料庫中唯一對應「CAN SLIM」的核心專家。,William J. O'Neil is the only expert currently mapped to CAN SLIM in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
