site_slug,site_name_zh,site_name_en,site_abbr,site_category,site_difficulty,site_uses,concept_slug,concept_zh,concept_en,concept_family,match_type,match_confidence,winner_zh,winner_en,runner_up_zh,runner_up_en,expert_count,material_count,evidence_summary_zh,evidence_summary_en,source_files,validation_flags
accumulation-distribution,累積派發線,Accumulation Distribution Line,A/D,成交量,中階,確認量能; 追蹤強弱,volume-analysis,成交量分析,Volume Analysis,volume,split,medium,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,13,0,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
advance-decline-line,漲跌家數線,Advance Decline Line,A/D Line,市場寬度,中階,確認量能; 看趨勢,breadth,市場寬度,Market Breadth,breadth,merge,high,內德・戴維斯,Ned Davis,拉瑞・威廉斯、拉爾夫・文斯,Larry Williams / Ralph Vince,14,0,內德・戴維斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉瑞・威廉斯、拉爾夫・文斯。,"Ned Davis wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Larry Williams / Ralph Vince.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review
adx,平均趨向指數,Average Directional Index,ADX,趨勢,中階,看趨勢; 判斷盤整,adx-dmi,ADX / DMI,Average Directional Index / Directional Movement,trend,alias,high,威爾斯・威爾德,J. Welles Wilder Jr.,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,威爾斯・威爾德是目前資料庫中唯一對應「ADX / DMI」的核心專家。,J. Welles Wilder Jr. is the only expert currently mapped to Average Directional Index / Directional Movement in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
aroon,阿隆指標,Aroon,Aroon,趨勢,中階,看趨勢; 找轉折,aroon,Aroon 指標,Aroon,trend,exact,high,圖沙・昌德,Tushar S. Chande,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,圖沙・昌德是目前資料庫中唯一對應「Aroon 指標」的核心專家。,Tushar S. Chande is the only expert currently mapped to Aroon in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
atr,平均真實波幅,Average True Range,ATR,波動率,入門,管理風險; 觀察波動,atr,ATR 平均真實波幅,Average True Range,volatility,exact,high,威爾斯・威爾德,J. Welles Wilder Jr.,奧利維耶・塞班,Olivier Seban,2,0,威爾斯・威爾德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為奧利維耶・塞班。,"J. Welles Wilder Jr. wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Olivier Seban.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
awesome-oscillator,動量震盪器,Awesome Oscillator,AO,動能,中階,追蹤強弱; 看趨勢,momentum,動量,Momentum,momentum,merge,medium,拉瑞・威廉斯,Larry Williams,羅伯特・科爾比、馬丁・普林格,Robert W. Colby / Martin J. Pring,12,0,拉瑞・威廉斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・科爾比、馬丁・普林格。,"Larry Williams wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert W. Colby / Martin J. Pring.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
beta,貝塔係數,Beta,Beta,綜合,中階,管理風險; 篩選股票,risk,風險 / 回撤,Risk / Drawdown,risk,merge,medium,彼得・馬丁、拜倫・麥肯,Peter G. Martin / Byron McCann,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,2,0,彼得・馬丁、拜倫・麥肯並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Peter G. Martin / Byron McCann are joint winners; this indicator/method is best treated as a shared authority.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
bollinger-bands,布林帶,Bollinger Bands,BB,波動率,入門,觀察波動; 判斷盤整,bollinger-bands,布林通道,Bollinger Bands,volatility,exact,high,約翰・布林格,John Bollinger,傑瑞米・杜普萊西斯,Jeremy du Plessis,2,0,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為傑瑞米・杜普萊西斯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Jeremy du Plessis.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
bollinger-bandwidth,布林帶寬度,Bollinger Bandwidth,BBW,波動率,中階,觀察波動; 判斷盤整,bollinger-bands,布林通道,Bollinger Bands,volatility,alias,high,約翰・布林格,John Bollinger,傑瑞米・杜普萊西斯,Jeremy du Plessis,2,0,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為傑瑞米・杜普萊西斯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Jeremy du Plessis.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
bullish-percent-index,看漲百分比指數,Bullish Percent Index,BPI,市場寬度,進階,看趨勢; 追蹤強弱,breadth,市場寬度,Market Breadth,breadth,split,high,內德・戴維斯,Ned Davis,拉瑞・威廉斯、拉爾夫・文斯,Larry Williams / Ralph Vince,14,0,內德・戴維斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉瑞・威廉斯、拉爾夫・文斯。,"Ned Davis wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Larry Williams / Ralph Vince.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review
