rank,expert_id,name_zh,name_en,country_region,years,category,category_zh,category_en,concepts_zh,concepts_en,research_focus_zh,research_focus_en,representative_materials_zh,representative_materials_en,contribution_summary_zh,contribution_summary_en,bilingual_research_summary_zh,bilingual_research_summary_en,material_count,source_count,high_evidence_count,book_count,paper_article_count,evidence_profile_zh,evidence_profile_en,translation_status
1,charles-h-dow,查爾斯・道,Charles H. Dow,United States,1851-1902,foundation,理論奠基者,Foundational theorist,道氏理論（奠基者）；趨勢跟隨（早期趨勢概念）,Dow Theory (founder); Trend Following (early trend concept),技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨,"core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following",《華爾街日報》市場平均指數評論（1899）；參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp；參考來源：https://www.investopedia.com/terms/d/dowtheory.asp,Wall Street Journal editorials on market averages (1899); Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp; Reference source: https://www.investopedia.com/terms/d/dowtheory.asp,技術分析源流人物之一，道氏理論、趨勢確認與量價觀念皆由其市場評論發展而來。,"Charles H. Dow (查爾斯・道) is classified as a Foundational theorist. The research/contribution focus is Dow Theory (founder); Trend Following (early trend concept). Representative materials include Wall Street Journal editorials on market averages (1899); Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp; Reference source: https://www.investopedia.com/terms/d/dowtheory.asp. The work is useful for core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",查爾斯・道（Charles H. Dow）定位為理論奠基者。研究/貢獻重點集中在道氏理論（奠基者）；趨勢跟隨（早期趨勢概念）。代表資料包括《華爾街日報》市場平均指數評論（1899）；參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp；參考來源：https://www.investopedia.com/terms/d/dowtheory.asp。可用於技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Charles H. Dow (查爾斯・道) is classified as a Foundational theorist. The research/contribution focus is Dow Theory (founder); Trend Following (early trend concept). Representative materials include Wall Street Journal editorials on market averages (1899); Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp; Reference source: https://www.investopedia.com/terms/d/dowtheory.asp. The work is useful for core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,normalized bilingual summary
2,william-peter-hamilton,威廉・彼得・漢密爾頓,William Peter Hamilton,United States,1867-1929,foundation,理論奠基者,Foundational theorist,道氏理論（主要詮釋者）；趨勢跟隨（趨勢判讀）,Dow Theory (principal interpreter); Trend Following (trend interpretation),技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨,"core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following",《股票市場晴雨表》（1922）；參考來源：https://archive.org/details/stockmarketbarom00hami；參考來源：https://openlibrary.org/books/OL7031671M/The_stock_market_barometer；參考來源：https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,The Stock Market Barometer (1922); Reference source: https://archive.org/details/stockmarketbarom00hami; Reference source: https://openlibrary.org/books/OL7031671M/The_stock_market_barometer; Reference source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。,"William Peter Hamilton (威廉・彼得・漢密爾頓) is classified as a Foundational theorist. The research/contribution focus is Dow Theory (principal interpreter); Trend Following (trend interpretation). Representative materials include The Stock Market Barometer (1922); Reference source: https://archive.org/details/stockmarketbarom00hami; Reference source: https://openlibrary.org/books/OL7031671M/The_stock_market_barometer; Reference source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690. The work is useful for core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",威廉・彼得・漢密爾頓（William Peter Hamilton）定位為理論奠基者。研究/貢獻重點集中在道氏理論（主要詮釋者）；趨勢跟隨（趨勢判讀）。代表資料包括《股票市場晴雨表》（1922）；參考來源：https://archive.org/details/stockmarketbarom00hami；參考來源：https://openlibrary.org/books/OL7031671M/The_stock_market_barometer；參考來源：https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690。可用於技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"William Peter Hamilton (威廉・彼得・漢密爾頓) is classified as a Foundational theorist. The research/contribution focus is Dow Theory (principal interpreter); Trend Following (trend interpretation). Representative materials include The Stock Market Barometer (1922); Reference source: https://archive.org/details/stockmarketbarom00hami; Reference source: https://openlibrary.org/books/OL7031671M/The_stock_market_barometer; Reference source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690. The work is useful for core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",4,3,0,1,0,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
3,robert-rhea,羅伯特・里亞,Robert Rhea,United States,1887-1939,foundation,理論奠基者,Foundational theorist,道氏理論（系統化整理者）；趨勢跟隨（趨勢確認）,Dow Theory (systematizer); Trend Following (trend confirmation),技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨,"core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following",《道氏理論》（1932）；參考來源：https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ；參考來源：https://openlibrary.org/books/OL6279382M/The_Dow_theory,The Dow Theory (1932); Reference source: https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ; Reference source: https://openlibrary.org/books/OL6279382M/The_Dow_theory,以《The Dow Theory》整理 Dow 與 Hamilton 的觀念，對後來技術分析教材影響很深。,"Robert Rhea (羅伯特・里亞) is classified as a Foundational theorist. The research/contribution focus is Dow Theory (systematizer); Trend Following (trend confirmation). Representative materials include The Dow Theory (1932); Reference source: https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ; Reference source: https://openlibrary.org/books/OL6279382M/The_Dow_theory. The work is useful for core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",羅伯特・里亞（Robert Rhea）定位為理論奠基者。研究/貢獻重點集中在道氏理論（系統化整理者）；趨勢跟隨（趨勢確認）。代表資料包括《道氏理論》（1932）；參考來源：https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ；參考來源：https://openlibrary.org/books/OL6279382M/The_Dow_theory。可用於技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Robert Rhea (羅伯特・里亞) is classified as a Foundational theorist. The research/contribution focus is Dow Theory (systematizer); Trend Following (trend confirmation). Representative materials include The Dow Theory (1932); Reference source: https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ; Reference source: https://openlibrary.org/books/OL6279382M/The_Dow_theory. The work is useful for core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",3,2,1,1,0,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
4,richard-d-wyckoff,理查・威科夫,Richard D. Wyckoff,United States,1873-1934,foundation,理論奠基者,Foundational theorist,威科夫方法（創始者）；成交量分析（量價分析）；讀帶 / 盤口判讀（讀帶）,Wyckoff Method (creator); Volume Analysis (price-volume analysis); Tape Reading (tape reading),量價關係、資金流與供需分析；圖表型態、價格結構與支撐阻力,"price-volume relationships, money flow, and supply/demand; chart patterns, price structure, and support/resistance",《讀帶研究》（1910）；《我如何交易與投資股票和債券》（1924）；參考來源：https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,Studies in Tape Reading (1910); How I Trade and Invest in Stocks and Bonds (1924); Reference source: https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,威科夫方法以供需、量價、累積/派發分析股票，是現代價格行為與量價交易的重要基礎。,"Richard D. Wyckoff (理查・威科夫) is classified as a Foundational theorist. The research/contribution focus is Wyckoff Method (creator); Volume Analysis (price-volume analysis); Tape Reading (tape reading). Representative materials include Studies in Tape Reading (1910); How I Trade and Invest in Stocks and Bonds (1924); Reference source: https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial. The work is useful for price-volume relationships, money flow, and supply/demand; chart patterns, price structure, and support/resistance.",理查・威科夫（Richard D. Wyckoff）定位為理論奠基者。研究/貢獻重點集中在威科夫方法（創始者）；成交量分析（量價分析）；讀帶 / 盤口判讀（讀帶）。代表資料包括《讀帶研究》（1910）；《我如何交易與投資股票和債券》（1924）；參考來源：https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial。可用於量價關係、資金流與供需分析；圖表型態、價格結構與支撐阻力。,"Richard D. Wyckoff (理查・威科夫) is classified as a Foundational theorist. The research/contribution focus is Wyckoff Method (creator); Volume Analysis (price-volume analysis); Tape Reading (tape reading). Representative materials include Studies in Tape Reading (1910); How I Trade and Invest in Stocks and Bonds (1924); Reference source: https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial. The work is useful for price-volume relationships, money flow, and supply/demand; chart patterns, price structure, and support/resistance.",3,3,2,2,0,3 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 3 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.,normalized bilingual summary
5,jesse-livermore,傑西・李佛摩,Jesse Livermore,United States,1877-1940,practitioner,實戰交易代表,Market practitioner,讀帶 / 盤口判讀（代表性實踐者）；價格行為（價格行為）；趨勢跟隨（趨勢交易）,Tape Reading (representative practitioner); Price Action (price action); Trend Following (trend trading),圖表型態、價格結構與支撐阻力；趨勢辨識、均線、通道與趨勢跟隨,"chart patterns, price structure, and support/resistance; trend identification, moving averages, channels, and trend following",《如何交易股票》（1940）；參考來源：https://en.wikipedia.org/wiki/Jesse_Livermore,How to Trade in Stocks (1940); Reference source: https://en.wikipedia.org/wiki/Jesse_Livermore,以價格行為、關鍵價位與趨勢操作聞名，雖非學院派作者，但對後世交易方法影響巨大。,"Jesse Livermore (傑西・李佛摩) is classified as a Market practitioner. The research/contribution focus is Tape Reading (representative practitioner); Price Action (price action); Trend Following (trend trading). Representative materials include How to Trade in Stocks (1940); Reference source: https://en.wikipedia.org/wiki/Jesse_Livermore. The work is useful for chart patterns, price structure, and support/resistance; trend identification, moving averages, channels, and trend following.",傑西・李佛摩（Jesse Livermore）定位為實戰交易代表。研究/貢獻重點集中在讀帶 / 盤口判讀（代表性實踐者）；價格行為（價格行為）；趨勢跟隨（趨勢交易）。代表資料包括《如何交易股票》（1940）；參考來源：https://en.wikipedia.org/wiki/Jesse_Livermore。可用於圖表型態、價格結構與支撐阻力；趨勢辨識、均線、通道與趨勢跟隨。,"Jesse Livermore (傑西・李佛摩) is classified as a Market practitioner. The research/contribution focus is Tape Reading (representative practitioner); Price Action (price action); Trend Following (trend trading). Representative materials include How to Trade in Stocks (1940); Reference source: https://en.wikipedia.org/wiki/Jesse_Livermore. The work is useful for chart patterns, price structure, and support/resistance; trend identification, moving averages, channels, and trend following.",2,2,1,1,0,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
6,w-d-gann,威廉・江恩,W. D. Gann,United States,1878-1955,foundation,理論奠基者,Foundational theorist,江恩理論（創始者）；週期分析（週期分析）；支撐阻力（角度/價位）,Gann Methods (creator); Cycle Analysis (cycle analysis); Support and Resistance (angles/price levels),週期、時間窗口與市場節奏判讀；圖表型態、價格結構與支撐阻力,"cycles, timing windows, and market rhythm; chart patterns, price structure, and support/resistance",《股市讀帶真相》（1923）；《華爾街四十五年》（1941）；參考來源：https://en.wikipedia.org/wiki/William_Delbert_Gann,Truth of the Stock Tape (1923); 45 Years in Wall Street (1941); Reference source: https://en.wikipedia.org/wiki/William_Delbert_Gann,江恩角度、時間循環、價格幾何在技術分析史上具代表性，適合歸於週期與時間價格分析資料。,"W. D. Gann (威廉・江恩) is classified as a Foundational theorist. The research/contribution focus is Gann Methods (creator); Cycle Analysis (cycle analysis); Support and Resistance (angles/price levels). Representative materials include Truth of the Stock Tape (1923); 45 Years in Wall Street (1941); Reference source: https://en.wikipedia.org/wiki/William_Delbert_Gann. The work is useful for cycles, timing windows, and market rhythm; chart patterns, price structure, and support/resistance.",威廉・江恩（W. D. Gann）定位為理論奠基者。研究/貢獻重點集中在江恩理論（創始者）；週期分析（週期分析）；支撐阻力（角度/價位）。代表資料包括《股市讀帶真相》（1923）；《華爾街四十五年》（1941）；參考來源：https://en.wikipedia.org/wiki/William_Delbert_Gann。可用於週期、時間窗口與市場節奏判讀；圖表型態、價格結構與支撐阻力。,"W. D. Gann (威廉・江恩) is classified as a Foundational theorist. The research/contribution focus is Gann Methods (creator); Cycle Analysis (cycle analysis); Support and Resistance (angles/price levels). Representative materials include Truth of the Stock Tape (1923); 45 Years in Wall Street (1941); Reference source: https://en.wikipedia.org/wiki/William_Delbert_Gann. The work is useful for cycles, timing windows, and market rhythm; chart patterns, price structure, and support/resistance.",3,3,2,2,0,3 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 3 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.,normalized bilingual summary
7,ralph-nelson-elliott,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,United States,1871-1948,foundation,理論奠基者,Foundational theorist,艾略特波浪（創始者）；週期分析（市場循環）,Elliott Wave (creator); Cycle Analysis (market cycles),波浪、分形結構與時間價格路徑；週期、時間窗口與市場節奏判讀,"waves, fractal structure, and time-price paths; cycles, timing windows, and market rhythm",《波浪原理》（1938）；參考來源：https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott；參考來源：https://www.investopedia.com/terms/e/elliottwavetheory.asp,The Wave Principle (1938); Reference source: https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott; Reference source: https://www.investopedia.com/terms/e/elliottwavetheory.asp,艾略特波浪是最知名的技術分析分支之一，常用於股票指數、外匯與商品的趨勢結構判讀。,"Ralph Nelson Elliott (拉爾夫・尼爾森・艾略特) is classified as a Foundational theorist. The research/contribution focus is Elliott Wave (creator); Cycle Analysis (market cycles). Representative materials include The Wave Principle (1938); Reference source: https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott; Reference source: https://www.investopedia.com/terms/e/elliottwavetheory.asp. The work is useful for waves, fractal structure, and time-price paths; cycles, timing windows, and market rhythm.",拉爾夫・尼爾森・艾略特（Ralph Nelson Elliott）定位為理論奠基者。研究/貢獻重點集中在艾略特波浪（創始者）；週期分析（市場循環）。代表資料包括《波浪原理》（1938）；參考來源：https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott；參考來源：https://www.investopedia.com/terms/e/elliottwavetheory.asp。可用於波浪、分形結構與時間價格路徑；週期、時間窗口與市場節奏判讀。,"Ralph Nelson Elliott (拉爾夫・尼爾森・艾略特) is classified as a Foundational theorist. The research/contribution focus is Elliott Wave (creator); Cycle Analysis (market cycles). Representative materials include The Wave Principle (1938); Reference source: https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott; Reference source: https://www.investopedia.com/terms/e/elliottwavetheory.asp. The work is useful for waves, fractal structure, and time-price paths; cycles, timing windows, and market rhythm.",3,2,0,1,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
8,richard-w-schabacker,理查・沙巴克,Richard W. Schabacker,United States,1899-1935,author,經典著作作者,Classic author,圖表型態（早期系統化作者）；支撐阻力（型態與趨勢線）,Chart Patterns (early systematizing author); Support and Resistance (patterns and trendlines),圖表型態、價格結構與支撐阻力,"chart patterns, price structure, and support/resistance",《技術分析與股市獲利》（1932）；參考來源：https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns；參考來源：https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,Technical Analysis and Stock Market Profits (1932); Reference source: https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns; Reference source: https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,把圖表型態、趨勢、支撐阻力整理成完整技術分析體系，並影響 Edwards 與 Magee。,"Richard W. Schabacker (理查・沙巴克) is classified as a Classic author. The research/contribution focus is Chart Patterns (early systematizing author); Support and Resistance (patterns and trendlines). Representative materials include Technical Analysis and Stock Market Profits (1932); Reference source: https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns; Reference source: https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164. The work is useful for chart patterns, price structure, and support/resistance.",理查・沙巴克（Richard W. Schabacker）定位為經典著作作者。研究/貢獻重點集中在圖表型態（早期系統化作者）；支撐阻力（型態與趨勢線）。代表資料包括《技術分析與股市獲利》（1932）；參考來源：https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns；參考來源：https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164。可用於圖表型態、價格結構與支撐阻力。,"Richard W. Schabacker (理查・沙巴克) is classified as a Classic author. The research/contribution focus is Chart Patterns (early systematizing author); Support and Resistance (patterns and trendlines). Representative materials include Technical Analysis and Stock Market Profits (1932); Reference source: https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns; Reference source: https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164. The work is useful for chart patterns, price structure, and support/resistance.",3,2,0,1,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
9,robert-d-edwards,羅伯特・愛德華茲,Robert D. Edwards,United States,1893-1964,author,經典著作作者,Classic author,圖表型態（經典教材作者）；支撐阻力（型態分析）,Chart Patterns (classic textbook author); Support and Resistance (pattern analysis),圖表型態、價格結構與支撐阻力,"chart patterns, price structure, and support/resistance",《股票趨勢技術分析》（1948）；參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；參考來源：https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,與 John Magee 合著的《Technical Analysis of Stock Trends》是圖表型態領域最常被引用的經典之一。,"Robert D. Edwards (羅伯特・愛德華茲) is classified as a Classic author. The research/contribution focus is Chart Patterns (classic textbook author); Support and Resistance (pattern analysis). Representative materials include Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp. The work is useful for chart patterns, price structure, and support/resistance.",羅伯特・愛德華茲（Robert D. Edwards）定位為經典著作作者。研究/貢獻重點集中在圖表型態（經典教材作者）；支撐阻力（型態分析）。代表資料包括《股票趨勢技術分析》（1948）；參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；參考來源：https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp。可用於圖表型態、價格結構與支撐阻力。,"Robert D. Edwards (羅伯特・愛德華茲) is classified as a Classic author. The research/contribution focus is Chart Patterns (classic textbook author); Support and Resistance (pattern analysis). Representative materials include Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp. The work is useful for chart patterns, price structure, and support/resistance.",3,2,1,1,0,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
10,john-magee,約翰・麥基,John Magee,United States,1901-1987,author,經典著作作者,Classic author,圖表型態（經典教材作者）；支撐阻力（型態分析）,Chart Patterns (classic textbook author); Support and Resistance (pattern analysis),圖表型態、價格結構與支撐阻力,"chart patterns, price structure, and support/resistance",《股票趨勢技術分析》（1948）；參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,與 Edwards 共同建立現代圖表型態教材框架，對股票技術分析教育影響深。,"John Magee (約翰・麥基) is classified as a Classic author. The research/contribution focus is Chart Patterns (classic textbook author); Support and Resistance (pattern analysis). Representative materials include Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp. The work is useful for chart patterns, price structure, and support/resistance.",約翰・麥基（John Magee）定位為經典著作作者。研究/貢獻重點集中在圖表型態（經典教材作者）；支撐阻力（型態分析）。代表資料包括《股票趨勢技術分析》（1948）；參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X；參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp。可用於圖表型態、價格結構與支撐阻力。,"John Magee (約翰・麥基) is classified as a Classic author. The research/contribution focus is Chart Patterns (classic textbook author); Support and Resistance (pattern analysis). Representative materials include Technical Analysis of Stock Trends (1948); Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X; Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp. The work is useful for chart patterns, price structure, and support/resistance.",3,2,1,1,0,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
