expert_rank,expert_zh,expert_en,title,material_type,year,primary_concept,concept_slugs,authors,publisher,container_title,source_url,source_title,source_type,doi,isbn13,openlibrary_key,google_books_id,evidence_level,api_enriched,notes_zh
1,查爾斯・道,Charles H. Dow,Wall Street Journal editorials on market averages,editorials,1899,dow-theory,dow-theory;trend-following,Charles H. Dow,,,https://www.investopedia.com/terms/d/dowtheory.asp,Wall Street Journal editorials on market averages,indicator_reference,,,,,medium,no,技術分析源流人物之一，道氏理論、趨勢確認與量價觀念皆由其市場評論發展而來。
1,查爾斯・道,Charles H. Dow,https://www.investopedia.com/terms/d/dowtheory.asp,source,,dow-theory,dow-theory;trend-following,,,,https://www.investopedia.com/terms/d/dowtheory.asp,https://www.investopedia.com/terms/d/dowtheory.asp,indicator_reference,,,,,medium,seed_source,技術分析源流人物之一，道氏理論、趨勢確認與量價觀念皆由其市場評論發展而來。
1,查爾斯・道,Charles H. Dow,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,source,,dow-theory,dow-theory;trend-following,,,,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,indicator_reference,,,,,medium,seed_source,技術分析源流人物之一，道氏理論、趨勢確認與量價觀念皆由其市場評論發展而來。
2,威廉・彼得・漢密爾頓,William Peter Hamilton,The Stock Market Barometer,book,1922,dow-theory,dow-theory;trend-following,William Peter Hamilton,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,The Stock Market Barometer,book_reference,,,,,medium,no,把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。
2,威廉・彼得・漢密爾頓,William Peter Hamilton,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,source,,dow-theory,dow-theory;trend-following,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,web_reference,,,,,medium,seed_source,把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。
2,威廉・彼得・漢密爾頓,William Peter Hamilton,https://archive.org/details/stockmarketbarom00hami,source,,dow-theory,dow-theory;trend-following,,,,https://archive.org/details/stockmarketbarom00hami,https://archive.org/details/stockmarketbarom00hami,web_reference,,,,,medium,seed_source,把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。
2,威廉・彼得・漢密爾頓,William Peter Hamilton,https://openlibrary.org/books/OL7031671M/The_stock_market_barometer,source,,dow-theory,dow-theory;trend-following,,,,https://openlibrary.org/books/OL7031671M/The_stock_market_barometer,https://openlibrary.org/books/OL7031671M/The_stock_market_barometer,book_catalog,,,,,medium,seed_source,把道氏理論用於實際市場評論與投資判斷，是早期技術分析史的重要承接者。
3,羅伯特・里亞,Robert Rhea,The Dow Theory,book,1932,dow-theory,dow-theory;trend-following,Robert Rhea,,,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ,The Dow Theory,book_catalog,,,,,high,no,以《The Dow Theory》整理 Dow 與 Hamilton 的觀念，對後來技術分析教材影響很深。
3,羅伯特・里亞,Robert Rhea,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ,source,,dow-theory,dow-theory;trend-following,,,,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ,book_catalog,,,,,medium,seed_source,以《The Dow Theory》整理 Dow 與 Hamilton 的觀念，對後來技術分析教材影響很深。
3,羅伯特・里亞,Robert Rhea,https://openlibrary.org/books/OL6279382M/The_Dow_theory,source,,dow-theory,dow-theory;trend-following,,,,https://openlibrary.org/books/OL6279382M/The_Dow_theory,https://openlibrary.org/books/OL6279382M/The_Dow_theory,book_catalog,,,,,medium,seed_source,以《The Dow Theory》整理 Dow 與 Hamilton 的觀念，對後來技術分析教材影響很深。
