row,expert_zh,expert_en,title,material_type,source_type,evidence_level,proposed_review_state,flags,source_url
2,查爾斯・道,Charles H. Dow,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp
3,查爾斯・道,Charles H. Dow,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/d/dowtheory.asp
4,威廉・彼得・漢密爾頓,William Peter Hamilton,,book,book_reference,medium,medium,book_reference_without_identifier,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690
5,威廉・彼得・漢密爾頓,William Peter Hamilton,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://archive.org/details/stockmarketbarom00hami
6,威廉・彼得・漢密爾頓,William Peter Hamilton,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://openlibrary.org/books/OL7031671M/The_stock_market_barometer
7,威廉・彼得・漢密爾頓,William Peter Hamilton,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690
8,羅伯特・里亞,Robert Rhea,,book,book_catalog,high,medium,book_reference_without_identifier,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ
9,羅伯特・里亞,Robert Rhea,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ
10,羅伯特・里亞,Robert Rhea,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://openlibrary.org/books/OL6279382M/The_Dow_theory
13,理查・威科夫,Richard D. Wyckoff,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial
15,傑西・李佛摩,Jesse Livermore,,source,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; source_row_support_only,https://en.wikipedia.org/wiki/Jesse_Livermore
18,威廉・江恩,W. D. Gann,,source,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; source_row_support_only,https://en.wikipedia.org/wiki/William_Delbert_Gann
19,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,,book,book_reference,medium,low_review,wikipedia_or_encyclopedia_only; book_reference_without_identifier,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott
20,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,,source,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; source_row_support_only,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott
21,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/e/elliottwavetheory.asp
22,理查・沙巴克,Richard W. Schabacker,,book,book_reference,medium,medium,book_reference_without_identifier,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164
23,理查・沙巴克,Richard W. Schabacker,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns
24,理查・沙巴克,Richard W. Schabacker,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164
